_id,playerId,gameId,roundId,stageId,name,jsonData,createdAt
5zAy8H4DQ6gxbysjK,tyqrMhnokSh3rGJGX,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""draggingStudent"",""object"":""B"",""at"":1680894420284}",2023-04-07T19:07:00Z
fWMnKuGv3jZASWfAz,tyqrMhnokSh3rGJGX,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""movedStudent"",""object"":""B"",""target"":101,""at"":1680894421166}",2023-04-07T19:07:01Z
fzxpK7ATavc5eGzbc,tyqrMhnokSh3rGJGX,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""draggingStudent"",""object"":""D"",""at"":1680894422054}",2023-04-07T19:07:02Z
rxKFDTyexbBaXgB6Y,tyqrMhnokSh3rGJGX,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""movedStudent"",""object"":""D"",""target"":102,""at"":1680894423853}",2023-04-07T19:07:03Z
zzJmT2zbmz4PhrtqS,tyqrMhnokSh3rGJGX,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""draggingStudent"",""object"":""C"",""at"":1680894424588}",2023-04-07T19:07:04Z
bS7njsqA762HoNo5b,tyqrMhnokSh3rGJGX,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""movedStudent"",""object"":""C"",""target"":101,""at"":1680894425208}",2023-04-07T19:07:05Z
eAhBpJCt98BNi78bZ,RPq53bLjtKvSWvtvw,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""draggingStudent"",""object"":""A"",""at"":1680894425618}",2023-04-07T19:07:05Z
kdSzE2gCf9kreHdkr,RPq53bLjtKvSWvtvw,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""movedStudent"",""object"":""A"",""target"":102,""at"":1680894427904}",2023-04-07T19:07:07Z
3BqXJvQjpii46RHrB,RED5Y4Evdzkrdgn8u,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""draggingStudent"",""object"":""B"",""at"":1680894431449}",2023-04-07T19:07:11Z
r2kyubTtXwBEzAED4,RED5Y4Evdzkrdgn8u,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""movedStudent"",""object"":""B"",""target"":102,""at"":1680894432405}",2023-04-07T19:07:12Z
H7m3ercbj6pfnzarf,RPq53bLjtKvSWvtvw,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""draggingStudent"",""object"":""A"",""at"":1680894434600}",2023-04-07T19:07:14Z
4onZBG27P5688kMfz,RPq53bLjtKvSWvtvw,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""movedStudent"",""object"":""A"",""target"":101,""at"":1680894435141}",2023-04-07T19:07:15Z
ocY3ht56PqqcZonCB,RPq53bLjtKvSWvtvw,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""draggingStudent"",""object"":""A"",""at"":1680894437685}",2023-04-07T19:07:17Z
nwhEptvA3XCy23ZRP,RPq53bLjtKvSWvtvw,SJwR7oQW5xMEtR9Du,cSjYjWDSnQW8DJM7j,DysffbLtEauyJr8yb,action,"{""verb"":""movedStudent"",""object"":""A"",""target"":102,""at"":1680894438159}",2023-04-07T19:07:18Z
