_id,name,required,description,type,min,max,createdAt,archivedAt
SQ8YwZgE7o9HXfLwz,playerCount,true,The Number of players participating in the given game.,Integer,1,,2023-03-03T18:28:32Z,
nckkeNMafK6L7Nzzn,stageDuration,true,Determines how long (in seconds) a stage will last (the default length is 120 seconds).,Number,1,100000000,2023-03-03T20:10:34Z,
MCgCiD7rDeJGXNa6c,introDuration,true,Determines how long (in seconds) intro steps per task will last (the default length is 120 seconds).,Integer,0,100000000,2023-03-03T20:10:34Z,
HMKzxgogMMFEY4pAk,outroDuration,true,Determines how long (in seconds) outro steps per task will last (the default length is 120 seconds).,Integer,0,100000000,2023-03-03T20:10:34Z,
DxxDhAhotmTRRWvTz,networkStructure,true,"Who is connected to who: 1-2,1-3,2-5,2-6,... (-1 indicates complete connections)",String,,,2023-03-03T20:10:34Z,
yaKsaf9dZ4PFdoMmq,randomizeTask,true,Determines if the task type order will be randomized.,Boolean,,,2023-03-03T20:10:34Z,
grQBWBiMrGHmC7gt3,randomizeInstance,true,Determines if the task instances order will be randomized.,Boolean,,,2023-03-03T20:10:34Z,
eqaQyjMTgG4i2CbyM,chat,true,Determines whether or not you can chat with your neighbors during the interactive stage.,Boolean,,,2023-03-03T20:10:34Z,
jgdC24YxBmBWbMiMu,chatGroups,true,"Players can be in multiple chat groups (denoted by a letter): 1-A,1-B,2-B,3-B,4-A,... (1 has 2 chat windows, can talk with 2 and 3 in window B, and with 4 in window A). (-1 indicates complete connection)",String,,,2023-03-03T20:10:34Z,
mKiToMczzZeN6v3aX,basePay,true,The base amount of money a user will get from completing the experiment.,Number,0,10,2023-03-03T20:10:34Z,
koZQJNPGxwtTgX2pH,conversionRate,true,"The conversion rate of score to bonus dollars paid. When the rate is quarter, this means the user will get $8 if they score 300 points.",Number,,,2023-03-03T20:10:34Z,
7MD9A7yvE3rw2QRwH,feedback,true,Determines whether or not the user will be able to have any feedback (ie. outcome stage or score shown).,Boolean,,,2023-03-03T20:10:34Z,
ivqhL4H96THc5aNuM,longTermEngagement,true,"For conditions that don’t require synchronized gameplay between multiple users/clients; determines whether an additional stage will be added to the end of each round with maximum/infinite duration, allowing users to leave and return to the page at their convenience. This probably only works for “solo”",Boolean,,,2023-03-03T20:10:34Z,
LYKHiLhoi6kuC6obL,quitEarly,true,"If toggled, a subject has the option to skip to the Exit Steps prior to starting a new round",Boolean,,,2023-03-03T20:10:34Z,
n39YowDciySckvzSD,numberOfRounds,true,Number of rounds that are randomly selected to be played,Integer,,,2023-03-03T20:10:34Z,2023-02-21T17:45:50Z
gNB2jBjtefg3zDgRf,batchSeed,false,Integer that is used as a seed for randomization such that every batch receives the same games. Needs to be updated for every batch.,Integer,,,2023-03-03T20:10:34Z,2023-02-21T17:41:52Z
aesa2wTqiAj6huZWu,unitsSeed,false,shuffles gameConfig,Integer,,,2023-03-03T20:10:34Z,
zwpS9wCpHhWNN3Wa3,subUnits,false,number of subgames,Integer,,,2023-03-03T20:10:34Z,
yngbqpmJJjKTRcZQM,unitsIndex,false,determines which subunit to use,Integer,,,2023-03-03T20:10:34Z,
