WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
hk_81bc1fd7069e08c4,3VAR3R6G1WDE9JYQKZ66OPR3JEC8OI,1,-620387825,Thank you for joining our study on 2023-05-01
hk_2d73cd498968556a,32SVAV9L3ML36IYJYZ6SWDZNEEK3AW,1,1454724803,Thank you for joining our study on 2023-05-08
hk_86db0317c353060b,3BDCF01OG46LI4MBKBO8VLBBHN5LYL,11.67,-257901230,Thank you for joining our study on 2023-05-02
hk_f55404d4344c6129,3YMU66OBIUKJAHILZKN4WTB0W22GHS,1,518481667,Thank you for joining our study on 2023-05-02
hk_8a45bca56cd73c16,3X87C8JFVDNZDFQFDA4FULM4A09QSY,1,1776044666,Thank you for joining our study on 2023-05-01
hk_0de362f23848eabc,3PQMUDRV7YIX23Z0VQ5SHHPVASQIIV,1,-1854390023,Thank you for joining our study on 2023-05-01
hk_2f8ed76da83da9fb,3XM0HYN6NRBD3KKIC25L5ZSF4ETEPB,13.61,248252053,Thank you for joining our study on 2023-05-02
hk_f55a3f61781afe99,3VAR3R6G1WDE9JYQKZ66OPR3J308OK,1,-279165498,Thank you for joining our study on 2023-05-02
hk_71157e0924e41c9d,3K2755HG5ZFWK1HO24YWNNWQ2RKDFJ,1,-2143614850,Thank you for joining our study on 2023-05-02
hk_4e3d513bac997dd9,3J4Q2Z4UT5FSKW7OXFEGRAPPGG6QWK,10.44,-1701289176,Thank you for joining our study on 2023-05-02
hk_5e472df10c26d7e9,33IZTU6J88DJMCRRZOZ7OTIX8E0SXO,14.38,-414551219,Thank you for joining our study on 2023-05-02
hk_193275d27dfd9e59,3ATPCQ38JFM4MLV7NKZIM7V0NU4YAG,1,-622570102,Thank you for joining our study on 2023-05-02
hk_113b730d531e1be8,3VW04L3ZL0IRITDQTY5UN1ZPNT5XX4,11.8,1262443927,Thank you for joining our study on 2023-05-02
hk_8f3279f30ebf4f6c,3Z7VU45IP5T8XNSCNN88PDBZQES1ZH,14.57,214513188,Thank you for joining our study on 2023-05-01
hk_cdb1cc3a07ab293d,31LM9EDVOS4LBFUXAO3KYQ0C9SUNJL,1,-904582013,Thank you for joining our study on 2023-05-08
hk_7818c30cd60412c7,3U5JL4WY5RL0KRPG9N3PQQ2RT94X4E,12.63,1027479278,Thank you for joining our study on 2023-05-01
hk_f9c25b5a06abbae8,3VNXK88KKJU9D8QXQ3YYJDGMZQAV95,1,1538131495,Thank you for joining our study on 2023-05-01
hk_83abd5b6abd0811b,3G0WWMR1U2W2X2YA5ENTVRCYNOQNQI,1,1865344819,Thank you for joining our study on 2023-05-01
hk_2dd316b4f7a64a65,3UNH76FOCZH5OM4WKNPNVYQ0GZGMYM,14.47,-785870112,Thank you for joining our study on 2023-05-05
hk_708761c8c50b5a4a,3Z3ZLGNNSP6VTY50NV3EMDESH0QQ3H,1,1354007195,Thank you for joining our study on 2023-05-05
hk_d720af8500ce9385,3XM0HYN6NRBD3KKIC25L5ZSF3P6PEK,1,550438766,Thank you for joining our study on 2023-05-02
hk_e6867144fb473c06,3FE7TXL1LPZ68G9HJVP93390CA12Q6,1,2071354402,Thank you for joining our study on 2023-05-01
hk_72ed98b5f514ecd1,3Z4GS9HPN2M3OZ18T8XYZ39DH0R77O,13.61,-46670589,Thank you for joining our study on 2023-05-02
hk_8887e604e9216860,3ZSANO2JCMJ2MQ06ZUTLIMIQ263FSB,1,-2079764981,Thank you for joining our study on 2023-05-02
hk_9000f3886860de5a,3PB5A5BD02IMHSC9MB1S5GM6G2FG73,13.21,-1341282467,Thank you for joining our study on 2023-05-08
hk_30d47d21ba5ae57f,3OF2M9AATN0A3OEYVXEQUS7YXCNZKV,1,2093531695,Thank you for joining our study on 2023-05-02
hk_2456166f2669733a,3M0NZ3JDP8A7L5TVOAAKS3OHB4L5ZM,1,-1281900848,Thank you for joining our study on 2023-05-01
hk_2d2c0ec6bf1fcace,3ZAZR5XV08USKQ2A3KXS69UQS4ACZT,1,1819853525,Thank you for joining our study on 2023-05-02
hk_d52cb012191428c2,37WLF8U1WW28FEUNTSHFXUE3S6EK69,13.42,1425891306,Thank you for joining our study on 2023-05-01
hk_1202cbfa69c2ef78,3CFJTT4SX020DJI4CZ1VQSZMVLI7I9,10.98,-1374972982,Thank you for joining our study on 2023-05-08
hk_ba4630baf581f62d,3JJVG1YBEI9B37QFIWUH6LHD9H1B57,1,191706771,Thank you for joining our study on 2023-05-05
hk_c4bd384d32bf9fe5,33TIN5LC0BMQH2L2VELIQCKGGM2Y90,1,-1138909568,Thank you for joining our study on 2023-05-02
