WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
hk_f90d66f8a7f80eee,3X1FV8S5J43OSID54948BU293MZVGS,11.82,-763191689,Thank you for joining our study on 2024-04-25
hk_694186a24aa51b90,3A1PQ49WVOTM62SIH121P67UTY31H2,9.81,-2087601548,Thank you for joining our study on 2024-04-25
hk_ba3989b34be6e7d2,3RUIQRXJBI01I5FC1WZI1D9F7F9LLE,12.33,-404094872,Thank you for joining our study on 2024-04-25
hk_486598d08baaf39d,34MAJL3QPBZO4TI2PYW1JADNLTD34N,10.31,-1291528657,Thank you for joining our study on 2024-04-25
hk_91ba140b75344c9f,3ND9UOO81REHTZRB5A6KAOQV54OLWI,10.29,-1170676806,Thank you for joining our study on 2024-04-25
hk_369d4c70dbf60601,3ATPCQ38JFM4MLV7NKZIM7V0MZEYAZ,10.33,-1739609719,Thank you for joining our study on 2024-04-25
hk_5f46189565e0171c,37KGEN7NJA2H0B98LGLWZBRJKHRPPX,11.33,1568740617,Thank you for joining our study on 2024-04-25
hk_d1c181d48796806d,3P4MQ7TPP4ODSN7OJ6LU97H5IT1BBH,13.33,-755300085,Thank you for joining our study on 2024-04-25
hk_332d414d28e3a29d,3ON104KXQR8LVRKQZI73O7OKI75W4P,1,-465894652,Thank you for joining our study on 2024-04-25
hk_939257f5c0b1a868,3FDJT1UU7BKCWAU9O97A5O03T8BK5S,11.32,-754682351,Thank you for joining our study on 2024-04-25
hk_c0c36c1f3930e363,3FTYUGLFS1X4I4OZWSLN1B5D9ZG5D2,9.81,1399236822,Thank you for joining our study on 2024-04-25
hk_84c7449113092dae,3SPJ033428FFNEYBHQCVF6YJ9PYJYT,13.79,-623384943,Thank you for joining our study on 2024-04-25
hk_2500fee5d3bc576a,32M8BPYGA0YJ6CT5525PW5CFREVIGU,9.82,541177501,Thank you for joining our study on 2024-04-25
hk_b63a3f62044e93b9,36NEMU28XMP1ZH9W5M7ZA15K2RAWMO,10.29,-1154778945,Thank you for joining our study on 2024-04-25
hk_4b9bc922eae9a182,35GCEFQ6IC047Q6RARMRD6QWQ0VZ32,12.33,438058587,Thank you for joining our study on 2024-04-25
hk_845d7724417c8758,3QXNC7EIPP7TK7PHN6A9YKQW800090,13.79,-803354910,Thank you for joining our study on 2024-04-25
hk_5006503e56da66b2,3A1COHJ8NQ74H2C3GMBG4GU29G48HE,1,-1130763934,Thank you for joining our study on 2024-04-25
hk_ca149becfd0e6929,3TPWUS5F8GDOQVX5SXDL75088CMCW0,9.76,263953075,Thank you for joining our study on 2024-04-25
hk_b7796a5c02f0f585,37ZHEEHM63YLNG0LRWU8MMXXC2Q378,9.81,-1241386252,Thank you for joining our study on 2024-04-25
hk_9305a3415ba47c08,3K3R2QNK8IF90T1XLDOTNRE3KY49UQ,11.82,116368059,Thank you for joining our study on 2024-04-25
hk_320d3ef06425c63d,3VJ40NV2QPZX73QENXH1FLNQ54OTOH,9.82,-1649200389,Thank you for joining our study on 2024-04-25
hk_4984b76c0fe02d7a,3L70J4KAZNY1OA0GROC49MLZ32XAD9,10.29,411291160,Thank you for joining our study on 2024-04-25
hk_f4ed2027c852b280,3H7Z272LXEJR9QUATOSPIUIZ99VLPY,9.78,-1693341159,Thank you for joining our study on 2024-04-25
hk_6c64c888408ffeea,3PMBY0YE2EFDEZKXZM3TTLSXIDJC94,1,1479967543,Thank you for joining our study on 2024-04-25
hk_982423e8f741d69d,3V5Q80FXI43E1F3FLKDDQVGP4HJ23Z,1,-923584764,Thank you for joining our study on 2024-04-25
hk_8b6147028169d152,3I0BTBYZA4X8L8XPVI2PX1JNNRRY0Z,11.32,420138173,Thank you for joining our study on 2024-04-25
hk_e1170b28d8ae4c58,38SKSKU7R89ZS476GT259XHNRPAILL,10.82,-970369781,Thank you for joining our study on 2024-04-25
hk_80c53d3522252266,3XXU1SWE8T77PQZMFCO9UF1GA4AA0L,1,-1716767021,Thank you for joining our study on 2024-04-25
hk_b7d1846cc79da647,3Q5ZZ9ZEVVRS19S8FKA7FJRC1J6588,1,1299902527,Thank you for joining our study on 2024-04-25
hk_d7a1742d28468fc0,3S4AW7T80IU5KX8RV401FW74LL8L4Z,1,-2085362187,Thank you for joining our study on 2024-04-25
hk_0534a71f41e3cf76,32KTQ2V7RKRQNLWOCBX7WHX97CV9MS,10.32,-791298403,Thank you for joining our study on 2024-04-25
hk_17ec7b830849f74f,3NG53N1RL2VWUJARZZJLDPWTS4FP8S,1,1124359358,Thank you for joining our study on 2024-04-25
hk_8798faceefab1dbe,3300DTYQT9TY3WLXCFKA54IP7Q4EQL,1,1106001994,Thank you for joining our study on 2024-04-25
hk_2c28d2de57c1b4e1,3S3AMIZX31HPHPXEB28VFHBN2VGCDQ,1,1629875660,Thank you for joining our study on 2024-04-25
hk_902a88d391a7a6d3,39PAAFCODTCSXNZBO93FADHYRUKVT4,9.75,2063683459,Thank you for joining our study on 2024-04-25
