stageId,score
7xFtg4cMC2Mo3NoEf,0
jxPwkK4kefqysW6ZL,0
w5YyBPhs7Ad76z6ve,0
dWAHSSEvghPASK7kQ,0
m8uA4Dh2muubMSGXQ,0
HpTkBvKTyo5Rze3hd,0
GkpXKQRwPv2u4vC4F,0
J5uTFcQKpmETbmWd2,0
RNXGEYr4xk53MtT6S,0
PZsScZG7MMWwjLvdv,1
bko8YFHhMCGGWHAx8,0
yJ8H8R9oWu2oZS5r4,0
fmfGzyeMxQpxZMqsN,0
bmzr4gF9cYwomgxa4,0
jQNBr2GCyGijv7XKj,0
d8G976cnR5Zgv9sjK,0
8yLzQXgePk8DKARWD,0
D5u5Tpiu9JzYQTpXD,0
r4yWWDijHgSjFCDBZ,10
ExqsKQ8DJqSRkKczF,6
n4NkxkXAhgBNsT5Bb,13
gXgSZ7PBCyeBLsntb,0
Jr3KsNLytHAGAMkWL,31
pQL5ePcwnaXP3MPBQ,24
dQoc6fmTaXw5iwcKo,28
5uow4qPEn9duY4bcB,0
FGc8po5cm3Hg9nKbq,60
fyCmcQjdCeoDum4yu,54
8PTRZ8SQabvmCfKXK,58
Dp5qDQKvvuFXeNYQ2,0
yjFfnKdKjeX9nZQ6S,9
PAwbsWwFcjDb2rHSm,8
hy9xPuvZHinvnxzDN,11
GJTcJ8P3urcZXMTrC,0
YqF5wiTM9GnojLecM,23
SPfvgJFmw3awX6fqH,23
BJvBXWJZ3jtDhfwAr,18
JxpHyGGsjMdXYS244,0
77wiP4w9pKNDdLqoM,13
Jz7cWTCfuazcsJze8,11
7ToXbWjKSjwFmhyaK,15
f9FEXbgctABfsqfry,0
zFFRXJaRMKv8QxTbo,29
L3hxYwFQ6ffhJxt8z,53
YrLTtxgP4SD7RLvJ8,21
Ekf9uqkaJevebB9zo,0
DY57AasaZGdsDXcbC,0
tgGgDsePhwDyKgCwP,0
txgNfTrysLRY65jCP,15
W9ciBehpoqkQSuRtQ,22
kDH6gr2vkhZPXcuun,19
F6FmbRtRQCrN9iu9N,0
hk_bae4fbf22703da03,30
9fXEjJuB3HxcPMu9h,28
