Task.Name,Task.Writeup,GitHub.Blob.URL,Generating.Script.URL
Word completion given part of word,<h2>Word completion given part of word</h2><br><h2>1. Set-Up</h2><p>A set of 36 words with 2-3 letters missing (ex.&ldquo; _ ech_ _ que&rdquo; would be &ldquo;technique&rdquo;)</p><br><h2>2. Objective / Goal</h2><p>To complete as many words as possible</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/2b1db346bc9623364a1db1f1e22a99d6ded5ba8c,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Ravens Matrices,"<h2>Ravens Matrices</h2><br><h2>1. Set-Up</h2><p>Participants are presented with a pattern, which usually looks like a matrix or grid with a white background. There is a missing piece to the pattern.</p><br><h2>2. Objective / Goal</h2><p>The goal is to complete the pattern by identifying what the missing piece should be. The problem is multiple-choice, so participants will choose just one correct answer from a variety of options.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3753ace25b924247f7850655cbd185833d715490,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Euclidean traveling salesperson,"<h2>Euclidean traveling salesperson</h2><br><h2>1. Set-Up</h2><p>Participants get a map with multiple cities, which are displayed as dots on the screen. These dots can be connected by different “paths” by clicking on two dots one after the other. For example, clicking on point A, then point B, would draw a “path” between A and B.</p><br><h2>2. Objective / Goal</h2><p>The goal is to find and select a sequence of cities corresponding to the shortest possible path to traverse through all of the cities, forming a cycle (or loop). In other words, the participant should click through the dots in a sequence, thus drawing a path that touches every city exactly once, and the first city twice: you can think of it as a “traveling salesman” who visits each city on the map before returning to his home city. Imagine that the shortest path involves going from A, to B, to C, to D. In that example, the participant’s goal would be to find this path, and then click the cities in that order: A, B, C, D, A.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/d45822be2e3d5334816c4bcbf1e8e7f9c0431c3f,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
9 Dot Problem,"<h2>9 Dot Problem</h2><br><h2>1. Set-Up</h2><p>Participants are given a 3x3 grid of nine dots.</p><br><h2>2. Objective / Goal</h2><p>Participants must connect all nine dots (e.g., draw a line that passes through them) using no more than four lines, and may not retrace any lines.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/7885d5f4731ae9935939e520b5f0c3c97acc3f96,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Moral Reasoning (Disciplinary Action Case),"<h2>Moral Reasoning (Disciplinary Action Case)</h2><br><h2>1. Set-Up</h2><p>Participants read a fictitious, controversial case in which a college basketball player bribed an instructor to change his grade on an exam, to maintain his eligibility on the team.</p><p>Participants are also given a list of potential issues, in which the student and/or instructor could be given a punishment or consequence. Examples include:</p><p>(1.) Student&#39;s Grade (2.) Student Suspension (3.) Student&#39;s Basketball Team (4.) Instructor Punishment (5.) Instructor Future Position</p><br><h2>2. Objective / Goal</h2><p>To agree on one choice from a list of alternatives for each issue having to do with the treatment of the athlete and the instructor.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c92babd10ce864eac361f1bea6aff9cefcd4234a,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Summarize Discussion,"<h2>Summarize Discussion</h2><br><h2>1. Set-Up</h2><p>For this task, participants are given a discussion statement about a specific topic. The statement may be a question like &ldquo;what makes for success in our culture&rdquo;</p><br><h2>2. Objective / Goal</h2><p>Participants are asked to discuss the statement and submit responses to the discussion statement.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/381937451130b3c732b4d6d0430532174203d282,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Letters-to-numbers problems (cryptography),"<h2>Letters-to-numbers problems (cryptography)</h2><br><h2>1. Set-Up</h2><p>Participants are given a series of mathematical problems (for example, 3+5), except the numbers have been replaced with letters! So, instead of 3+5, users would instead see &ldquo;A+B&rdquo;, where the letter &ldquo;A&rdquo; maps to &ldquo;3&rdquo; and &ldquo;B&rdquo; maps to &ldquo;5&rdquo;.</p><p>Paricipants will also have the opportunity to see the answers to certain problems. For example, 3+5 = 8; maybe the number &ldquo;8&rdquo; maps to the letter &ldquo;C.&rdquo; In the case, the participant would have the information that A + B = C.</p><br><h2>2. Objective / Goal</h2><p>The objective was to identify the mapping of the 10 letters to the 10 numbers in as few trials as possible.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/70cf85561ad9558090cda7d949994bcaf67fb7da,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Word completion given starting letter,"<h2>Word completion given starting letter</h2><br><h2>1. Set-Up</h2><p>Participants are given a starting letter and ending letter for words. For example, the start letter could be &ldquo;S&rdquo; and the end letter could be &ldquo;N.&rdquo; The starting and ending letters are selected such that there is always a nonzero set of English words that can be created.</p><br><h2>2. Objective / Goal</h2><p>The goal is to generate a list of valid English words using the starting and ending letter provided. Using the previous example, participants could be asked to generate words like &ldquo;SPIN,&rdquo; which starts with &ldquo;S&rdquo; and ends with &ldquo;N.&rdquo; Participants must generate the maximum number of valid words they can within a fixed amount of time. Nonvalid words will be rejected by the system.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8ea9342a87412579fa804f337d0f75b1ba2902d7,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Allocating resources to programs,"<h2>Allocating resources to programs</h2><br><h2>1. Set-Up</h2><p>Partipants are given a list of several complex social projects, along with details of those projects. The following are examples of proposed projects:</p><p>(1.) To purchase a new computer system for the county government in order to hold local taxes constant. (2.) To establish a community arts program featuring art, music, and dance programs for children and adults. (3.) To establish an additional shelter for the homeless in the community.</p><br><h2>2. Objective / Goal</h2><p>The goal is to decide how to allocate $500,000 between these competing projects.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/bca28fdda15bd870ee0fb64293812e5f9f820b5f,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Image rating,<h2>Image rating</h2><br><h2>1. Set-Up</h2><p>Pictures of a series of products and accompanying slogans</p><br><h2>2. Objective / Goal</h2><p>To rate slogans on a scale of 1 (worst) to 10 (best) based on what they believed a large sample of Americans would rate their suitability for the given products</p>,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/d5ea826a29258eaf02649194ef83aced40b04323,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
To evacuate or not to evacuate,"<h2>To evacuate or not to evacuate</h2><br><h2>1. Set-Up</h2><p>Participants read about a situation in which &#39;a disaster may or may not strike.&#39; Different variations could have different wordings &mdash; for example, in which the disaster is presented to be more or less serious, or more or less certain. Participants will also be given additional relevant information, such as the expected damage and cost of the disaster.</p><br><h2>2. Objective / Goal</h2><p>The goal is to make a decision regarding whether to evacuate from an impending disaster that would wipe out subjects&#39; endowment unless they evacuated in time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/6ee90349f1cdba5fa202c1f30b6b066ff22918eb,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
Wildcat Wells,"<h2>Wildcat Wells</h2><br><h2>1. Set-Up</h2><p>Participants see a map of an oil well (called Wildcat Wells).</p><br><h2>2. Objective / Goal</h2><p>The goal of the game is to &ldquo;drill for oil&rdquo;. Participants earn points by searching for the hidden oil fields, with the goal of finding the most oil.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/74a0cc5ac6cfaf1e0004164fb3219e23bb511277,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ff3dcab95faaba1085e706c8bd9a174122d41925
