user_id,duration,task_id,task_reference,source,materials,instructions,solution,criteria,images_required,cooperation_requirements,decision_verifiability,difficulty,goal_clarity,goal_path_multiplicity,intellectual_manipulative_requirements,intrinsic_interest,operational_requirements,population_familiarity,solution_multiplicity,cooperation_requirements_q,decision_verifiability_q,difficulty_q,goal_clarity_q,goal_path_multiplicity_q,intellectual_manipulative_requirements_q,intrinsic_interest_q,operational_requirements_q,population_familiarity_q,solution_multiplicity_q
R_01W7HflzO1BtADD,4078,100,"Shaw 1963, p. 128","Cattell & Stice, 1960.","Paper and pencils. Three crypts:
1. ORST' PILY NOHY RTSA CUEC
2. MITGIENURUINUOGSCKT
3. PSCLST
YHOTEH
OGSNA
IODSNS
FOTGTO
TREWRK
Copies (one for each S) of the following instructions: ","""We are interested in observing how individuals work together to solve problems. In this situation, you are asked to work together to solve crypts. Cryptography is the art of secret writing. In it, one word or letter or number is substituted for another, or the words are scrambled in such a fashion that they are unreadable. Here are several examples: (a) The letters
of the alphabet are reversed so that Z stands for A, Y for B,
X for C, and so on. Thus the word class is written xozhh.
(b) The letters are written in couplets; then one writes out the
first of each pair, then the second. For example, pencil would be
pniecl. To break this code, one simply divides the letters in
half, writes the first half with wide spaces between them, writes
the second half below with letters corresponding to spaces above, and combines the two. (c) Another method takes the first, then the second, then the third, and so on, letters of each word. E.g., Are you here becomes ayhroeeure. (d) A final procedure is called the Horizontal or Vertical Route Transposition Code. First, the message is written in a series of horizontal columns; ' then select the letters in come mixed up manner. E.g., This is really very easy might be done in this manner:
thisi
sreal
lyver
yeasy
The final code then may be written tsly eyrh ieva seas ilry.
You may divide the work U:P any way you wish and feel free to
discuss and talk freely. You will be given three coded messages
to unscramble, You will have five minutes to work on each code."" ","Crypt 1. Can you solve this crypt.
Crypt 2. Time is running out.
Crypt 3. Psychologists often do the strangest work. ",Number of words correctly decoded; number of crypts correctly decoded; mean time required per crypt. ,FALSE,2.94,6.82,5.95,5.25,3.45,5.81,4.88,5.41,2.29,0.79,2.52,1.52,3.04,3.93,3.41,2.36,2.63,2.69,2.66,1.46
R_01W7HflzO1BtADD,4078,19,"Shaw 1963, p. 45",(old parlor game),"""A man reported that in his travels over the United States
he found a mountain with such strange characteristics that a glass would hold less water on top of the mountain than in the valley below. What mountain has this strange characteristic?""","""Your task is to discuss the problem you have been given and arrive at a group decision regarding the question posed in the problem statement."" ","Any mountain one cares to name. (The surface of any liquid is always spherical, and the greater any sphere is the less its convexity. Therefore, the top of any vessel will form the base of a greater sphere at the top of a mountain that at the bottom. This sphere, being greater, must be more convex; in other words, the spherical surface of the water must be less above the brim of the glass, and so will hold less water at the top of a mountain than at the bottom.)",Time; pass/fail.,FALSE,1.61,6.62,3.17,4.25,2.28,7.42,2.78,1.94,2.32,2.08,1.84,2.18,4.42,4.65,3.32,0.6,3.36,2.67,3.1,5.3
R_01W7HflzO1BtADD,4078,28,"Shaw 1963, p. 53","Shaw & Rothschild, 1956","Paper and pencils. One copy of the following problem statement for each group member:
""Your group must raise money to buy a number of items for
prizes for carnival games. You must bu~• four different i terns:
dolls, flags, canes, and ashtrays. How much money must the group raise to pay for all items?""
One copy of each of the following items: (Items are randomly
distributed among group members.)
The group needs 50 dolls.
Dolls cost 20 cents each.
The group needs 75 flags.
Flags cost 10 cents each,
The group needs 100 cones.
Canes cost 15 cents each.
The group needs 100 ashtrays.
As~trays cost 10 cents each. ","""Your task is to solve the problem you have been given working together as a group. No one of you can solve the problem working alone because no one has all the information
needed to solve it. You must, therefore, communicate with each
other in order to reach solutions. You may communicate freely
among yourselves, but you may not show each other the items of
information that you have been given. The object is for every
member in the group to learn the answer in the shortest possible
time. When you have an answer that you are willing to accept -
either your own solution or someone else's - raise your hand and I will collect your solution. The sooner each of you reports a
solution, the better will be the group's performance score. Are
there any questions? ",$42.50,"Average of individual time scores; errors (number of 
incorrect solutions submitted). ",FALSE,6.25,7.36,4.15,5.21,2.95,6.35,3.19,3.54,5.64,0.56,1.92,0.66,3.29,3.6,2.81,2.2,2.37,2.7,1.14,0.58
R_01W7HflzO1BtADD,4078,2,"Shaw 1963, p. 31",Deutsch; 1949.,"Paper and pencils; copies (one for each S) for the following problem statement:
""Five school girls sat for an examination. Their parents, so they thought, showed an undue degree of interest in the result. They therefore agreed that, in writing home about the examination, each girl would make one true statement and one untrue one. The following are the relevant passages from their letters:
Betty: 'Kitty was second in the examination, I was only third.'
Ethel: ''You'll be glad to hear that I was top, Joan was second' ·
Joan: 'I was third, and poor Ethel was bottom.'
Kitty: 'l came out second. Mary was only fourth.'
Mary: 'I was fourth. Top place was taken by Betty.'
What, in fact; was the order in which the five girls placed?"" ","We are interested in observing how groups of individuals go about solving problems. Please read the problem carefully, then discuss it among yourselves and try to arrive at a group decision as quickly as possible. You may attack the problem in any way that you wish as long us you work on it as a group.""","Kitty, Joan, Betty, Mary, Ethel ",Number of girls correctly placed; time required for solution. ,FALSE,2.61,7.21,4.71,5.61,3.23,7.12,4.68,3.04,3.39,0.77,2.63,2.98,2.27,2.5,2.29,2.46,2.59,1.98,2.56,1.82
R_01W7HflzO1BtADD,4078,3,"Shaw 1963, p. 32","Deutsch, 1949.","Paper and pencils; copies (one for each S) of the following problem statement: 
""There must have been a dearth of eligible young ladies in
Kingsdale, for each of five men there has married the widowed
mother of one of the others. Jenkin's stepson, Tomkins, is the
stepfather Perkins. Jenkin's mother is a friend of Mrs. Watkins
whose husband is a cousin of Mrs. Ferkins. What is the name of '
the stepson of Simkins?"" ","""We are interested in observing how groups of individuals go about solving problems. Please read the problem carefully, then discuss it among yourselves and try to arrive at a group decision as quickly as possible. You may attack the problem in any way that you wish as long as you work on it as a group."" ",Watkins,Time required for solution; correct/incorrect,FALSE,2.35,7.28,4.28,5.71,2.66,7.16,4.17,3.14,3.23,0.54,2.48,1.66,2.33,3.22,2.31,1.88,2.65,2.05,2.12,0.56
R_01W7HflzO1BtADD,4078,47,"Shaw 1963, p. 73","Watson, 1928.",A card having the secondary printed on it. Paper and pencils. ,"""This is a group task. You will be allowed 10 minutes to form as many words as possible using only the letters appearing in the word secondary. Each letter may be used only once in each word formed. Singular and plural do not count as separate
words. Proper names and slang are not permitted."" ",Variable,Number of words formed in 10-minute period.,FALSE,1.82,5.5,1.1,7.18,5.94,6.37,4.39,1.88,5.19,6.09,1.95,4.35,2.35,2.28,3.39,1.79,2.89,2.04,3.76,1.69
R_01W7HflzO1BtADD,4078,48,"Shaw 1963, p. 73","Watson, 1928.",A card having the word neurotics printed on it. Paper and pencils. ,"""This is a group task. You will be allowed 10 minutes to form as many words as possible using only the letters appearing in the word neurotics. Each letter may be used only once in each word formed. Singular and plural do not count as separate words. Proper names and slang are not permitted."" ",Variable,Number of words formed in 10-minute period.,FALSE,1.82,5.5,1.08,7.18,5.94,6.41,4.43,2.04,5.19,6.1,1.95,4.33,2.45,2.28,3.36,1.76,2.63,2.27,3.76,1.75
R_01W7HflzO1BtADD,4078,81,"Shaw 1963, p. 106","Gaier & Bass, 1955.","List of cities to be ranked; pencils.
City Rank
South Bend, Indiana
Little Rock, Arkansas
Jacksonville, Florida
Portland, Oregon
Charlotte, North Carolina 
Lowell, Massachusetts ","""Your task will be to rank the cities listed on the problem sheet according to their population as indicated by the 1960 census. That is, assign a rank of 1 to the city which has the largest population a rank of 2 to the city which has the next largest population, etc. Are there any questions about this procedure? (Make sure task is understood by everyone.) You will be given 10 minutes to discuss the problem and arrive at a group ranking."" ","City Rank
South Bend, Indiana 4
Little Rock, Arkansas 5
Jacksonville, Florida 3
Portland, Oregon 1
Charlotte, North Carolina 2
Lowell, Massachusetts 6
",Correlation of group ranking with true ranking; time. ,FALSE,2.81,7.32,2.5,7.3,1.86,6.88,2.28,1.19,3.85,0.91,2.63,0.86,3.51,1.18,2.7,1.67,2.95,1.79,3.73,1.68
R_01W7HflzO1BtADD,4078,85,"Shaw 1963, p. 110","Bass, 1958.","An adequate supply of rating sheets with the following information:
Words Rank
Uncle
Kennel
Effort
Money
Village ","""Your task is to rank the words on your problem sheet in order of familiarity. Give a rank of 1 to the word that you think is most familiar to persons in this country (i.e., most common), a rank of 2 to the word that is next most familiar, etc. First, each of you will rank the words individually. Then you will work together as a group and arrive at a group ranking of the words. Work as quickly and as accurately as you can."" ","Words True Rank
Money 1
Uncle 2
Effort 3
Village 4
Kennel 5",Difference between the correlation of the average individual rank with true ranks and the correlation of group ranking with true ranks. Time required for group ranking. ,TRUE,3.15,6.29,1.89,7.21,1.83,6.95,2.35,1.45,2.86,0.98,2.57,3.15,2.94,1.7,2.8,1.8,3.01,2.07,3.58,2
R_01W7HflzO1BtADD,4078,97,"Shaw 1963, p. 125",(old parlor game),"Paper and pencils. Copy of the following statement:
""A certain college had a square dormitory that had eight rooms
on each floor, as shown in the diagram below: 

*Stairs

Lower floor Upper floor

The dean of the college stipulated that students be assigned to
this dormitory so that there are exactly 11 persons sleeping on
each side of the building, and twice as many on the upper floor
as on the lower floor. Furthermore, every room must be occupied,
and no more than 3 persons may occupy the same room.
After the housing director learned the number of students to
be assigned to the dormitory, he had no difficulty working out
room assignments meeting the dean's conditions. When the students arrived, however, he found that there were three more than expected. Nevertheless, he succeeded in getting them all into the dormitory without breaking the dean's rules. How many students were expected, how many actually appeared, and what was the room assignment in each case? ","""This is a group task. You may attack it in any way that you wish as long as you work together as a group. The task will be terminated when you have answered the three questions posed in the problem statement, or when 20 minutes have elapsed, whichever comes first."" ","Number Expected: 27
Assignments:
Upper Lower

Assignments:
Upper Lower ",Number of questions answered correctly; time. ,TRUE,2.86,7.21,6.09,4.07,2.96,6.14,3.45,4.12,3.59,0.88,2.56,2.34,2.32,3.3,2.73,2.06,2.95,2.82,2.68,2.42
