question_name,num_raters,krippendorf_alpha,class_balance,mean_agreement,mean_alpha
Q1concept_behav,6,1,0,1,1
Q3type_1_planning,6,0.628125,0.3333333333333333,0.9166666666666667,0.8333333333333334
Q4type_2_generate,6,0.5592592592592592,0.25,0.9166666666666667,0.8333333333333334
Q7type_7_battle,6,-0.08181818181818179,0.08333333333333333,0.9166666666666667,0.8333333333333334
Q14sol_scheme_mul,6,-0.08181818181818179,0.08333333333333333,0.9166666666666667,0.8333333333333334
Q20type_3_type_4,6,-0.08181818181818179,0.08333333333333333,0.9166666666666667,0.8333333333333334
Q16shared_knowledge,6,0.16190476190476188,0.08695652173913043,0.9166666666666666,0.8333333333333333
Q15dec_verifiability,6,0.01777777777777778,0.125,0.875,0.75
Q10maximizing,6,0.5666666666666668,0.4782608695652174,0.8666666666666667,0.7333333333333334
Q8type_8_performance,6,0.5487603305785125,0.5,0.8541666666666667,0.7083333333333334
Q18ans_recog,6,-0.07099999999999995,0.16666666666666666,0.8333333333333334,0.6666666666666667
Q19time_solvability,6,-0.152421052631579,0.20833333333333334,0.7916666666666667,0.5833333333333334
Q22confl_tradeoffs,6,0.4341258741258741,0.4583333333333333,0.7916666666666666,0.5833333333333333
Q6type_5_cc,6,0.07111111111111101,0.21739130434782608,0.7833333333333333,0.5666666666666667
Q17within_sys_sol,6,-0.12444444444444458,0.21739130434782608,0.7833333333333333,0.5666666666666667
Q24eureka_question,6,-0.125,0.23809523809523808,0.7583333333333333,0.5166666666666667
Q13outcome_multip,6,0.1428571428571429,0.3684210526315789,0.7375,0.475
Q11optimizing,6,0.025000000000000022,0.36363636363636365,0.7291666666666667,0.45833333333333337
Q23ss_out_uncert,6,0.04800000000000004,0.375,0.7083333333333334,0.4166666666666667
Q9divisible_unitary,6,-0.16503496503496495,0.4583333333333333,0.5416666666666666,0.08333333333333331
