task,Conceptual-Behavioral,Type 1 (Planning),Type 2 (Generate),Type 5 (Cognitive Conflict),Type 7 (Battle),Type 8 (Performance),Divisible-Unitary,Maximizing,Optimizing,Outcome Multiplicity,Solution Scheme Multiplicity,Decision Verifiability,Shared Knowledge,Within-System Solution,Answer Recognizability,Time Solvability,Type 3 and Type 4 (Objective Correctness),Conflicting Tradeoffs,Solution Scheme Outcome Uncertainty,Eureka Question,Intellectual-Manipulative,Intellective-Judgmental,Creativity Input,Type 6 (Mixed-Motive)
Intergroup Prisoner's Dilemma,0,0.13636363636363638,0.0909090909090909,0.0909090909090909,0.6818181818181818,0.13636363636363635,0.23809523809523808,0.6363636363636364,0.1818181818181818,0.31818181818181823,0.22727272727272724,0.36363636363636365,0.2727272727272727,0.6363636363636365,0.33333333333333337,0.36363636363636365,0.40909090909090906,0.9090909090909091,1,0.04545454545454545,0.03181818181818182,0.5227272727272727,0.17727272727272728,1
Minimum-effort tacit coordination game,0,0.13043478260869565,0.13043478260869565,0.08695652173913045,0.391304347826087,0.17391304347826092,0.13636363636363638,0.5217391304347826,0.5217391304347826,0.6086956521739131,0.391304347826087,0.6956521739130435,0.391304347826087,0.6521739130434783,0.5652173913043478,0.4347826086956522,0.4782608695652174,0.5652173913043479,0.8260869565217391,0.13043478260869565,0.056521739130434775,0.6434782608695652,0.16086956521739132,1
Public goods game,0,0.125,0.08333333333333333,0.16666666666666669,0.30434782608695654,0.08333333333333336,0.08695652173913046,0.5833333333333333,0.21739130434782605,0.375,0.17391304347826086,0.40909090909090906,0.20833333333333334,0.5416666666666666,0.4782608695652174,0.391304347826087,0.4347826086956522,0.8333333333333334,0.8695652173913043,0.125,0.02916666666666667,0.4375,0.2708333333333333,1
The beer game,0.0909090909090909,0.5454545454545454,0.13636363636363638,0.2727272727272727,0.09090909090909093,0.04545454545454545,0.5,0.5714285714285714,0.5,0.5,0.22727272727272727,0.7272727272727273,0.5909090909090909,0.7727272727272727,0.6363636363636364,0.6818181818181819,0.7727272727272727,0.9090909090909091,0.8636363636363636,0.04545454545454547,0.11363636363636363,0.6863636363636364,0.3090909090909091,1
Pharmaceutical Company (hidden-profile),0,0.23809523809523805,0.19047619047619047,0.8095238095238095,0.1428571428571429,0.6666666666666666,0.25,0.5238095238095238,0.7619047619047619,0.9523809523809523,0.19047619047619047,0.9047619047619048,0.55,1,0.7142857142857143,0.7619047619047619,0.9047619047619048,0.7619047619047619,0.8095238095238095,0.09523809523809523,0.061904761904761914,0.8523809523809524,0.1904761904761905,1
Ultimatum game (various versions),0,0.16666666666666669,0.08333333333333333,0.33333333333333337,0.45833333333333337,0.20833333333333331,0.08695652173913045,0.5833333333333334,0.16666666666666669,0.20833333333333331,0.20833333333333334,0.375,0.29166666666666663,0.6086956521739131,0.33333333333333337,0.391304347826087,0.29166666666666663,0.8333333333333334,0.8333333333333334,0.125,0.06666666666666667,0.37916666666666665,0.2875,1
New Recruit,0,0.22727272727272727,0.0909090909090909,0.7727272727272727,0.5909090909090909,0.14285714285714288,0.1,0.6363636363636364,0.40909090909090906,0.22727272727272727,0.09090909090909091,0.3181818181818182,0.1818181818181818,0.5909090909090909,0.21052631578947367,0.38095238095238093,0.2727272727272727,0.9545454545454546,0.8181818181818181,0.04545454545454546,0.04545454545454546,0.4863636363636364,0.38181818181818183,1
Investment Game (aka Trust Game),0,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.22727272727272727,0.13043478260869565,0.22727272727272727,0.6521739130434783,0.08695652173913045,0.21739130434782608,0.2173913043478261,0.34782608695652173,0.17391304347826086,0.6666666666666667,0.22727272727272727,0.22727272727272727,0.2608695652173913,0.8260869565217391,0.9090909090909091,0.04347826086956523,0.052173913043478265,0.30869565217391304,0.26521739130434785,1
Aerospace Investment (Role-playing),0,0.23809523809523808,0.23809523809523808,0.7142857142857143,0.33333333333333337,0.1428571428571429,0.05,0.6666666666666666,0.14285714285714288,0.19047619047619047,0.19047619047619047,0.42857142857142855,0.09523809523809523,0.7619047619047619,0.45,0.5238095238095238,0.28571428571428575,0.8095238095238095,0.7619047619047619,0.047619047619047616,0.1,0.3666666666666667,0.4666666666666667,1
Minimal Group Paradigm (study diversity),0.04347826086956523,0.17391304347826086,0.13043478260869565,0.13043478260869565,0.04347826086956523,0.08695652173913047,0.2608695652173913,0.08695652173913046,0.04347826086956524,0,0.17391304347826086,0.13043478260869565,0.1818181818181818,0.7727272727272727,0.13636363636363638,0.19047619047619047,0.04347826086956524,0.17391304347826086,0.19047619047619047,0,0.06956521739130435,0.07826086956521738,0.30434782608695654,1
Volunteer Investment Game,0,0.36363636363636365,0.22727272727272727,0.13636363636363644,0.5454545454545454,0.04545454545454547,0.35,0.5909090909090909,0.31818181818181823,0.33333333333333337,0.22727272727272724,0.5454545454545454,0.40909090909090906,0.8181818181818182,0.5,0.5,0.5454545454545454,0.9090909090909091,0.8636363636363636,0.047619047619047596,0.10909090909090909,0.5545454545454546,0.26363636363636367,1
Sender-Receiver game,0,0.16666666666666669,0.125,0.13043478260869565,0.5833333333333334,0.16666666666666669,0.0909090909090909,0.5833333333333333,0.34782608695652173,0.29166666666666663,0.25,0.5652173913043478,0.20833333333333331,0.5652173913043478,0.41666666666666663,0.30434782608695654,0.33333333333333337,0.7916666666666667,1,0.041666666666666664,0.04166666666666667,0.43333333333333335,0.325,1
Iterated Snowdrift Game (With Punishment),0.33333333333333337,0.23809523809523808,0.14285714285714288,0.33333333333333337,0.5789473684210527,0.19047619047619047,0.35,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.19047619047619047,0.7,0.33333333333333337,0.8571428571428571,0.4761904761904762,0.6666666666666666,0.6666666666666666,0.9523809523809523,0.9047619047619048,0.14285714285714288,0.32857142857142857,0.6,0.3,1
Dictator game and its variants,0.047619047619047596,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.15,0.31578947368421056,0.7142857142857143,0.2857142857142857,0.23809523809523805,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.8888888888888888,0.29999999999999993,0.42105263157894735,0.38095238095238093,0.7619047619047619,0.7142857142857143,0.23809523809523808,0.08095238095238094,0.43333333333333335,0.2571428571428572,1
Chicken,0.04347826086956523,0.08695652173913045,0.04347826086956523,0.08695652173913045,0.8260869565217391,0.2173913043478261,0.049999999999999996,0.6086956521739131,0.17391304347826086,0.30434782608695654,0.1739130434782609,0.40909090909090906,0.17391304347826086,0.6086956521739131,0.30434782608695654,0.36363636363636365,0.30434782608695654,0.9130434782608695,0.9565217391304348,0.04347826086956523,0.060869565217391314,0.4260869565217391,0.2652173913043478,1
Battle of the sexes,0,0.2727272727272727,0.13636363636363635,0.22727272727272727,0.38095238095238093,0.13636363636363638,0.14285714285714288,0.7272727272727273,0.1818181818181818,0.6363636363636364,0.27272727272727276,0.5909090909090909,0.1818181818181818,0.7619047619047619,0.45454545454545453,0.47619047619047616,0.5454545454545454,0.7727272727272727,0.9047619047619048,0.14285714285714288,0.06363636363636364,0.5818181818181818,0.3,1
Apache helicopter flight simulator (Longbow2),0.36000000000000004,0.32,0.039999999999999994,0.039999999999999994,0.31999999999999995,0.08,0.8,0.96,0.15999999999999998,0.375,0.16666666666666669,0.5,0.4000000000000001,0.6521739130434783,0.45833333333333337,0.52,0.44000000000000006,0.28,0.6,0.08,0.40800000000000003,0.5599999999999999,0.308,1
Prisoner's Dilemma (various versions),0,0.20000000000000004,0.11999999999999998,0.20000000000000004,0.5833333333333334,0.12,0.047619047619047616,0.48,0.12,0.375,0.08000000000000002,0.41666666666666663,0.28,0.64,0.29166666666666663,0.36,0.31999999999999995,1,0.96,0.11999999999999998,0.032,0.41200000000000003,0.20800000000000002,1
Mock jury,0,0.21739130434782608,0.30434782608695654,0.9565217391304348,0.04347826086956523,0.5652173913043479,0.09090909090909091,0.13043478260869565,0.5652173913043478,0.391304347826087,0.2608695652173913,0.31818181818181823,0.04347826086956524,0.8095238095238095,0.31818181818181823,0.4347826086956522,0.1818181818181818,0.8636363636363636,0.5909090909090909,0,0.0391304347826087,0.3652173913043478,0.20869565217391303,1
Biopharm Seltek,0,0.36363636363636365,0.1818181818181818,0.8636363636363636,0.40909090909090906,0.5238095238095238,0.14285714285714288,0.31818181818181823,0.2727272727272727,0.2727272727272727,0.0909090909090909,0.5,0.09523809523809523,0.7272727272727273,0.23809523809523808,0.40909090909090906,0.2727272727272727,0.9090909090909091,0.6190476190476191,0.04545454545454546,0.07272727272727272,0.4272727272727273,0.42272727272727273,1
Iterated Snowdrift Game (Without Punishment),0.42857142857142855,0.13636363636363635,0.0909090909090909,0.1818181818181818,0.4545454545454545,0.2727272727272727,0.23809523809523805,0.5,0.31818181818181823,0.5909090909090909,0.27272727272727276,0.6363636363636364,0.40909090909090906,0.9090909090909091,0.7727272727272727,0.6363636363636364,0.5909090909090909,0.9090909090909091,0.7272727272727273,0.2272727272727273,0.4636363636363636,0.5954545454545455,0.2,1
Investment game (hidden-profile),0,0.30434782608695654,0.2173913043478261,0.9130434782608695,0.21739130434782608,0.5,0.17391304347826086,0.17391304347826086,0.8260869565217391,0.8260869565217391,0.26086956521739124,0.9130434782608695,0.4782608695652174,1,0.782608695652174,0.9090909090909091,0.782608695652174,0.7391304347826088,0.8636363636363636,0.1739130434782609,0.04347826086956522,0.7782608695652175,0.3130434782608696,1
Organization Game,0.04999999999999999,0.65,0.23809523809523805,0.47619047619047616,0.0476190476190476,0.047619047619047616,0.75,0.42857142857142855,0.23809523809523808,0.29999999999999993,0.09523809523809523,0.6666666666666666,0.38095238095238093,0.8095238095238095,0.5714285714285714,0.6666666666666667,0.5714285714285714,0.9047619047619048,1,0.047619047619047616,0.17142857142857143,0.6285714285714286,0.43333333333333335,1
TOPSIM - general mgmt business game,0.04545454545454545,0.4545454545454545,0.2727272727272727,0.45454545454545453,0.9545454545454546,0.1818181818181818,0.5454545454545454,0.6363636363636364,0.2727272727272727,0.22727272727272727,0.045454545454545456,0.5,0.45454545454545453,0.7727272727272727,0.40909090909090906,0.5909090909090909,0.5238095238095238,0.8636363636363636,0.9090909090909091,0.045454545454545456,0.1,0.6227272727272727,0.4863636363636364,1
Best job candidate (hidden-profile),0,0.391304347826087,0.21739130434782608,0.9130434782608695,0.08695652173913046,0.5238095238095238,0.21739130434782605,0.30434782608695654,0.8695652173913043,0.9130434782608695,0.391304347826087,0.7391304347826086,0.34782608695652173,0.8695652173913043,0.8260869565217391,0.8260869565217391,0.8695652173913044,0.8695652173913044,0.9130434782608695,0.17391304347826086,0.0391304347826087,0.7565217391304347,0.21739130434782608,1
