taskName,taskDescription,source
Sudoku,"<p> The objective is to fill a 9×9 grid with digits so that each column, each row, and each of the nine 3×3 subgrids that compose the grid (also called 'boxes', 'blocks', or 'regions') contain all of the digits from 1 to 9. The puzzle setter provides a partially completed grid, which for a well-posed puzzle has a single solution.</p>",http://www.sudoku.name/rules/en
Guessing the correlation,<p> <strong >This task involved passing through the following instructions and activities</strong ></p><figure> <img src='https://ucde106aba71aa6057b786db70a2.previews.dropboxusercontent.com/p/thumb/AAtbvuKEl-GtnnNY8J881zA0SsXNOL3yTYbbljN2CI5LCcxmvQxYR7D-z1n552ibO_7Ovhl_XN_RXFaPHtPi2BT23enviOIj4pL0CUt6gxMWe-Z6-GFWl5X57DUx5CqCZFRL7ziQ95LytuYKdhjbhSLFwCOo6W_ll9LkWnLeqlCM--XlMl3OPj0A8zxtRo47i6c4ABittbTTE54zKe3mQYjzroJ0-QNqTy-SPF3ScrvC5Fs_GRHp3W7XouwrXUh1K5oxeCV33VgzDPjsHRlmV7DyQtgahE0oNf14SBj2T1TsQdd48cNtwfMBabI2co1bXh9GSQ8WhXSYMVmC0sQDX94LBl0c22SOJ9NWgUmEQEftd-eUhwnt2xdGzwn25oXbDo4/p.png' alt='' /> </figure><figure> <img src='https://uc23c03728f5c8370e81e6e7b192.previews.dropboxusercontent.com/p/thumb/AAtSlO3Q5DFF_thBnLSVFngV7HKwDG666P7ZiGH6Rfqtz38YAOj1pQyLPXKiAmNabmVapktgLr-CRQ0VY220W666P8Gh3xZVu96e6aS2giFkVBOYEigNd7mHgGC_N8yEcB8xEnz8Kzl-lKW_UBEJz0YnjmIWryb7S1hqkobD5Du2aIh5nYQXo12xUZsCE692xi81Q3isavr6j5akvE7K3RM8EfXQvIPyXxcJ7ep5wHYZ5Bh047vnAJI4IZtuLato4lyYKYM9z8rpiOkevjz-nsGJDDW6BPzySnfz3XXM6d_jMWE-RV0Jk2JPzMT3Qlo2tOde2G83jVzmUfddeaoAA66Wkfrjl580hg3XlC0H9V_RF2s98BZN_eQ-YMSvPs09tl4/p.png' alt='' /> </figure><figure> <img src='https://ucb1cbe966378f7e6f50201cbf25.previews.dropboxusercontent.com/p/thumb/AAu0ijhx2DX7jS2BlAG1xFSe0yVnaywDsDsQHxoZh47Vak6jZOwFFtMnIroRAac1WijqZrwwzl08B7lVssUcbTGhPZ2RKIGaQ65_kSTMBSsrA3SCuOswVK6k3CEMV1kTVXzY6zrf2eWcFtBYbketNoZK75rzk5WLISi33-lfrrUpJP_re8ervKeX3L3z5EaHNkDcwZnhsxN4KYNMAhJ7BDhCCuvBl949Z_mCwSWVew5HMDmD-w32MWi5ksl9RrixQ4vnZhsWqrXT6JTSWIhAtgj_Ieu2CeDkz34IpWPaG0XQzShCY-uDFnYCI8TQeBca-9vI_IjK1bo3lJ1JKWjGsu-Pr5O_NtLxINoItmSGc9_JPA/p.png' alt='' /> </figure><figure> <img src='https://ucf938d87d905a79c4026f0cc50a.previews.dropboxusercontent.com/p/thumb/AAuPceYneAUlZc5h_KZNzwhWMFt4c8t7meSbWL2BtMao468s82s6FOPxLwMWD7wOzVPwqEC8d4Gh3UVm0ClfVPqqP8jOju9E3Skmjy_gL0f5UC-xcNwSuLyp2M-bG4TfExnsw4gVjHKOxUmRY7ZeEaWRLKwA04EFQIyrxQYOeseYxNsaZ6bUf-4QcDdp8lCPxeT4CHDD81S79mL67_qKhhZ_DIEw6qvhN5yk_1fUjTU-mKK45-ZlmTNOhUFWz-Nj-JvHAeSd4USwO4P3hA566kqAqvQC6oZPewyopDF6pZKBo8QlK7eBH1IKm649aNVwmvoqb3IhNjAuL3yR0k_FDtwfZif1-6iZnL7gr3V2WtjJf1BTte_-iaXgRvE_vrtTq8Y/p.png' alt='' /> </figure><figure> <img src='https://uc352c06d952a68ed28af4376323.previews.dropboxusercontent.com/p/thumb/AAuvicIwXaeHSt9N0ljxX75a3t-ZT9LimTcqrMPxMLZAdtoIJX_IJey_wg9E9h9-GbKPYV7C1dG8h172nGPWz6ogPaahgfOlQjoNZoc9hR67oDNCU79ubds1q6UkZU0FUhrUjjqE42px-SBp2uPU8diImwI2YxNEoRmqjIijmQ2RkDY5BRP75aE7A_kwKcHbA2gmPWTnLKBUdv1j0tkZq5MpOIt_imG2XRZCnNOBa-FET1vYVETSOZYbghhZ0hVPSz9rB4n2TSkwgMRhOZQYzWbBAXYh4wnGKEwFaublf8Rg6QK7uPpLqZHDFHAgVmVOjyDo-cclp05odNvBA2UyCGGRLgzSC4tyTq3zP1mLX7LvDl3bVQJ5nt_9UQhrnybIrKs/p.png' alt='' /> </figure>,https://arxiv.org/pdf/1805.04766.pdf
Survival task,"<p> <strong>The following steps appear over the course of the task.</strong> The participants would have just completed an individual version of the same activity.</p><hr /><p> You and 3 other survivors have decided to form a team and work together. Discuss your situation amongst each other and agree on a team ranking of the same 10 items you just ranked individually. Submit the final ranking using the instructions below. You have 15 minutes!</p><p> Record the group ranking by typing a message starting with '!' followed by a list of the item's acronyms. The item acronyms appear in the list below, inside the '(),' to the right of the item name. Order this list from the MOST to the LEAST important item. Separate each item acronym with a space. For example, a correct submission message looks like: <code>!AB CD E F GH I J KL M N</code></p><p> Anyone in the group can submit the team ranking. You may submit the team item ranking as many times as needed. We will only look at the last submission.</p><hr /><p> The situation described is based an over 2,000 actual cases in which men or women lived or died depending on the survival decisions they made. Your own ‘life’ or ‘death’ will depend on how well your team can share knowledge to reach collective decisions.</p><p> It is approximately 10.00 am in mid-July and you have just crash-landed in the Sonora Desert, South West USA. Your light twin-engine plane containing the bodies of the pilot and co-pilot has completely burnt out, only the frame remaining. None of the rest of you has been injured. The pilot was unable to notify anyone of your position before you crashed. However, ground sightings taken shortly before the crash suggested that you are about 65 miles off course from your originally filed flight plan. A few moments before the crash the pilot indicated that the nearest known habitation is a mining camp 70 miles away in a North-North-East direction. The immediate area is quite flat and appears to be rather barren except for the occasional cactus. The last weather report indicated that the temperature would reach 110°F. (43°C) You are dressed in light-weight clothing, short-sleeved shirts, shorts, socks, and leather shoes.</p><p> Your team task is to rank the 10 items in order of their importance for your group's survival as you all wait to be rescued.</p><ul><li>Cosmetic Mirror (CM)</li><li>.45 Caliber Pistol (CP)</li><li>1 Plastic Raincoat (PR)</li><li>1 Red and White Parachute (P)</li><li>Compass (C)</li><li>Flashlight (F)</li><li>A book entitled Edible Animals of the Desert (B)</li><li>1 Pair of Sunglasses per person (S)</li><li>1 Quart of Water per person (Q)</li><li>100 Salt Tablets (ST)</li></ul><p>Say hello to your team! Begin brainstorming item rankings together.</p><p> PLEASE NOTE: To receive the stated pay, you must show a concerted and honest effort to engage with your team and advance team discussion beyond the obvious</p><p> As a team, discuss and refine your team ranking. Collaborate to give your team the best chance at survival. We take your final ranking submission.</p><p> Any teammate may submit the ranking by adding a <code>!</code> in front of the list of item acronyms from MOST to LEAST important. For example,</p><p><code>!AB CD E F GH I J KL M N</code></p><p> This round is ending soon! Make sure you've submitted your team ranking.</p><p>The round is ending! Say goodbye to your teammates!</p>",Status paper
Ad writing,"<p> Collaborate with your team members in the chat room to write an ad! Check out the link below to view the product! This task has 5 rounds that last ten minutes, followed up a 5 minute survey. You will be bonused at a rate of $12/hr.</p><p> Example product link: https://www.kickstarter.com/projects/1636469325/the-tis-tea-plant-based-high-rich-minerals-in-seaw</p><strong> The following instructions appear during the course of the activity: </strong><ol><li> As a team, brainstorm as many ad slogans as possible and then narrow down your ideas to determine your final ad submission.</li><li>Your final ad will appear online.</li><li> The more successful it is, the larger the bonus each team member will be paid.</li><li> The ad must be no more than 30 characters long. Instructions for submission will appear later.</li><li> There are a total of 5 rounds of team interaction with a 5 minute reflection survey following each one. You will only receive the stated bonus pay if you thoughtfully fill out every survey question.</li><li> Your ads will be reviewed and checked after each task. If you go AFK on your teammates, you will NOT receive the stated pay.</li><li> Say hello to your team members. Begin brainstorming ideas together!</li><li>As a team, discuss and narrow down your ideas!</li><li> Polish your team&#8217 s favorite ad and get ready to submit. Submit your ad by adding a &#8220 !&#8221  in front of the ad. For example, &#8220 !Ad text here.&#8221  Remember, your final ad can&#8217 t be more than a maximum of 30 characters long.</li><li>This round is ending soon! Say goodbye to your teammates.</li></ol>",Fracture paper
Ultimatum game,"<p> One player, the proposer, is endowed with a sum of money. The proposer is tasked with splitting it with another player, the responder.</p><p> Once the proposer communicates their decision, the responder may accept it or reject it.</p><p> If the responder accepts, the money is split per the proposal  if the responder rejects, both players receive nothing.</p><p> Both players know in advance the consequences of the responder accepting or rejecting the offer.</p>",https://en.wikipedia.org/wiki/Ultimatum_game
Public goods game,<p> Subjects secretly choose how many of their private tokens to put into a public pot.</p><p> The tokens in this pot are multiplied by a factor (greater than one and less than the number of players) and this 'public good' payoff is evenly divided among players.</p><p>Each subject also keeps the tokens they do not contribute.</p>,
Estimation task,"<p><strong>These instructions appear during the course of the task:</strong></p><ol><li><strong>DO NOT REFRESH OR LEAVE THE PAGE! If you do, it may terminate the task for your team members and you will not be compensated.</strong></li><li>You will receive the bonus pay at the stated hourly rate only if you <strong>fill out all survey questions and complete all rounds.</strong></li><li>The entire HIT will take no more than 45 minutes total.</li><li><strong>Instructions:</strong><br><strong>Please do NOT use any external resources (e.g. internet, books, friends, etc.) besides whoever is in your chatroom. Your answers will NOT impact your bonus, however, if we suspect that external sources were used to answer the questions, we will reject the work.</strong></li><li><strong>Estimate the following quantities:</strong><ol><li>Number of miles from New York to Los Angeles</li><li>Average weight of an elephant</li><li>Number of U.S. states that border the Gulf of Mexico</li><li>Number of months per year residents of Tromoso, Norway go without seeing a sunset</li><li>Highest temperature (in degrees F) ever registered in the U.S.</li></ol></li><li>You have 10 minutes to discuss and estimate these quantities as a group.<br></li><li><strong>You&#8217 re about half way through this round.</strong><br> As a reminder, you&#8217 re estimating the following quantities as a group:<ol><li>Number of miles from New York to Los Angeles</li><li>Average weight of an elephant</li><li>Number of U.S. states that border the Gulf of Mexico</li><li>Number of months per year residents of Tromoso, Norway go without seeing a sunset</li><li>Highest temperature (in degrees F) ever registered in the U.S.</li></ol></li><li><strong>Get ready to submit your group estimate.</strong></li><li><strong>The quantities you&#8217 re estimating are:</strong> <strong><ol></strong> <strong><li>Number of miles from New York to Los Angeles</li></strong> <strong><li>Average weight of an elephant</li></strong> <strong><li>Number of U.S. states that border the Gulf of Mexico</li></strong> <strong><li>Number of months per year residents of Tromoso, Norway go without seeing a sunset</li></strong> <strong><li>Highest temperature (in degrees F) ever registered in the U.S.</li></strong> <strong></ol></strong></li><li><strong>Submit the team&#8217 s final group estimation by sending a message for each item starting with its number in the list above. Here&#8217 s an example for other similar questions:<br><code>1: 14</code><br><code>2: 200</code><br><code>3: 13042</code></strong><br></li><li><strong>Last chance to submit!</strong></li><li><strong>This round is ending soon. Time to say goodbye to your teammates!</strong></li></ol>",Fracture paper
Allocation task,"<p><strong>These instructions appear during the course of the task:</strong></p><ol><li>DO NOT REFRESH OR LEAVE THE PAGE! If you do, it may terminate the task for your team members and you will not be compensated.</li><li>You will receive the bonus pay at the stated hourly rate only if you<strong> fill out all survey questions and complete all rounds.</strong></li><li>The entire HIT will take no more than 45 minutes total.</li><li><strong>Task:</strong> You must evaluate competing requests for funding and make judgements about their relative merit. Many programs have merit, but limited resources require that you select the programs that you prefer to fund. You have discretionary funds available, and a number of projects are requesting access to these funds. <br>Your group’s job is to select those that should receive support. <br>Your personal goal in selecting projects for funding is to choose those programs that agree with your personal values.</li><li>You have <strong>$500,000 total to allocate</strong> from this fund. <br>Proposals received from various organizations for projects are listed below. Each project is in need of $500,000 but can benefit from any contribution that you might make. The greater the contribution that you make to a particular project, the more likely it is that the chosen project will succeed.</li><li><strong>Proposed projects:</strong><ol><li>To purchase a new computer system for the county government in order to hold local taxes constant.</li><li>To establish a community arts program featuring art, music, and dance programs for children and adults.</li><li>To establish an additional shelter for the homeless in the community.</li></ol></li><li>You have 10 minutes to complete this decision as a group.<br>After everyone is done reading, begin discussing with your group members to agree on a final allocation. <strong>When prompted, enter the final choices and the reasons behind them.</strong><br>There is, of course, no optimal allocation. However, your group’s performance will be evaluated by judges based on how persuasive your arguments for the allocation are.</li><li><strong>You&#8217 re about half way through this round.</strong><br> As a reminder, you&#8217 re deciding on how to allocate $500,000 between the following initiatives based on which programs agree with your personal values:<ol><li>To purchase a new computer system for the county government in order to hold local taxes constant.</li><li>To establish a community arts program featuring art, music, and dance programs for children and adults.</li><li>To establish an additional shelter for the homeless in the community.</li></ol></li><li><strong>Get ready to submit your group decision.</strong></li><li><strong>The programs you are considering are:<ol><li>To purchase a new computer system for the county government in order to hold local taxes constant.</li><li>To establish a community arts program featuring art, music, and dance programs for children and adults.</li><li>To establish an additional shelter for the homeless in the community.</strong></li></ol></li><li><strong>Submit the team&#8217 s final choices by sending a message for each program starting with its number in the list above as well as the amount of money allocated and the main reason. Use this format:</strong><ol><li><code>$$$ reason</code></li><li><code>$$$ reason</code></li><li><code>$$$ reason</code></li></ol></li><li><strong>Last chance to submit!</strong></li><li><strong>This round is ending soon. Time to say goodbye to your teammates!</strong></li></ol>",Fracture paper
Chess,"<p>The rules of chess are published by <a name='/wiki/FIDE' title='FIDE'>FIDE</a> (<i>Fédération Internationale des Échecs</i>), chess's international governing body, in its <i>Handbook</i>.<sup id='cite_ref-6' class='reference'><a name='#cite_note-6'>&#91 5&#93 </a></sup> Rules published by national governing bodies, or by unaffiliated chess organizations, commercial publishers, etc., may differ. FIDE's rules were most recently revised in 2018.</p><h3><span class='mw-headline' id='Setup'><span class='mw-headline-number'>1.1</span> Setup</span></h3><p>By convention, chess <a name='/wiki/Chess_piece' title='Chess piece'>game pieces</a> are divided into <a name='/wiki/White_and_Black_in_chess' title='White and Black in chess'>white and black</a> sets. Each set consists of 16 pieces: one king, one queen, two rooks, two bishops, two knights, and eight pawns. The pieces are set out as shown in the <a name='/wiki/Chess_diagram' title='Chess diagram'>diagram</a> and photo. The players of the sets are referred to as <i>White</i> and <i>Black</i>, respectively.</p><p>The game is played on a square <a name='/wiki/Chessboard' title='Chessboard'>board</a> of eight rows (called <i><dfn id=''><a name='/wiki/Glossary_of_chess#ranks' title='Glossary of chess'><span title='See entry at: Glossary of chess § ranks' >files</span></a></dfn></i>, denoted <i>a</i> to <i>h</i> from left to right according to White's perspective). The 64 squares alternate in color and are referred to as <i>light</i> and <i>dark</i> squares. The chessboard is placed with a light square at the right-hand corner nearest to each player. Thus, each queen starts on a square of its own color (the white queen on a light square  the black queen on a dark square).</p><div ></div><h3><span class='mw-headline' id='Movement'><span class='mw-headline-number'>1.2</span> Movement</span></h3><p>In competitive games, the colors are allocated by the organizers  in informal games, the colors are usually decided randomly, for example by coin toss, or by one player's concealing a white and black pawn in either hand and having the opponent choose. White moves first, after which players alternate turns, moving one piece per turn (except for <a name='/wiki/Castling' title='Castling'>castling</a>, when two pieces are moved). A piece is moved to either an unoccupied square or one occupied by an opponent's piece, which is captured and removed from play. With the sole exception of <i><a name='/wiki/En_passant' title='En passant'>en passant</a></i>, all pieces capture by moving to the square that the opponent's piece occupies.</p><p>Moving is compulsory  it is illegal to skip a turn, even when having to move is <a name='/wiki/Zugzwang' title='Zugzwang'>detrimental</a>. A player may not make any move that would put or leave the player's own king in <a name='#Check'>check</a>. If the player to move has no legal move, the game is over  the result is either <a name='/wiki/Checkmate' title='Checkmate'>checkmate</a> (a loss for the player with no legal move) if the king is in check, or <a name='/wiki/Stalemate' title='Stalemate'>stalemate</a> (a draw) if the king is not.</p><p>Each piece has its own way of moving. In the diagrams, the dots mark the squares to which the piece can move if there are no intervening piece(s) of either color (except the knight, which leaps over any intervening pieces).</p><div><div ></div><ul><li>The <a name='/wiki/King_(chess)' title='King (chess)'>king</a> moves one square in any direction. The king also has a special move called <i><a name='#Castling'>castling</a></i> that involves also moving a rook.</li><li>A <a name='/wiki/Rook_(chess)' title='Rook (chess)'>rook</a> can move any number of squares along a rank or file, but cannot leap over other pieces. Along with the king, a rook is involved during the king's castling move.</li><li>A <a name='/wiki/Bishop_(chess)' title='Bishop (chess)'>bishop</a> can move any number of squares diagonally, but cannot leap over other pieces.</li><li>The <a name='/wiki/Queen_(chess)' title='Queen (chess)'>queen</a> combines the power of a rook and bishop and can move any number of squares along a rank, file, or diagonal, but cannot leap over other pieces.</li><li>A <a name='/wiki/Knight_(chess)' title='Knight (chess)'>knight</a> moves to any of the closest squares that are not on the same rank, file, or diagonal. (Thus the move forms an 'L'-shape: two squares vertically and one square horizontally, or two squares horizontally and one square vertically.) The knight is the only piece that can leap over other pieces.</li><li>A <a name='/wiki/Pawn_(chess)' title='Pawn (chess)'>pawn</a> can move forward to the unoccupied square immediately in front of it on the same file, or on its first move it can advance two squares along the same file, provided both squares are unoccupied (black dots in the diagram)  or the pawn can capture an opponent's piece on a square diagonally in front of it on an adjacent file, by moving to that square (black 'x's). A pawn has two special moves: the <i><a name='#En_passant'>en passant</a></i> capture and <a name='#Promotion'>promotion</a>.</li></ul><div ></div><h3><span class='mw-headline' id='Castling'><span class='mw-headline-number'>1.3</span> Castling</span></h3><div role='note' class='hatnote navigation-not-searchable'>Main article: <a name='/wiki/Castling' title='Castling'>Castling</a></div></p><ul><li>Neither the king nor the rook has previously moved during the game.</li><li>There are no pieces between the king and the rook.</li><li>The king cannot be in <a name='#Check'>check</a>, nor can the king pass through any square that is under attack by an enemy piece, or move to a square that would result in check. (Note that castling <i>is</i> permitted if the rook is under attack, or if the rook crosses an attacked square.)</li></ul><h3><span class='mw-headline' id='En_passant'><span class='mw-headline-number'>1.4</span> <i>En passant</i></span></h3><p><span id='en_passant'></span></p><div role='note' class='hatnote navigation-not-searchable'>Main article: <a name='/wiki/En_passant' title='En passant'>En passant</a></div><p>When a pawn makes a two-step advance from its starting position and there is an opponent's pawn on a square next to the destination square on an adjacent file, then the opponent's pawn can capture it <i>en passant</i> ('in passing'), moving to the square the pawn passed over. This can be done only on the very next turn  otherwise the right to do so is forfeited. For example, in the animated diagram, the black pawn advances two steps from g7 to g5, and the white pawn on f5 can take it <i>en passant</i> on g6 (but only on White's next move).</p><h3><span class='mw-headline' id='Promotion'><span class='mw-headline-number'>1.5</span> Promotion</span></h3><div role='note' class='hatnote navigation-not-searchable'>Main article: <a name='/wiki/Promotion_(chess)' title='Promotion (chess)'>Promotion (chess)</a></div><p>When a pawn advances to the eighth rank, as a part of the move it is <i>promoted</i> and must be exchanged for the player's choice of queen, rook, bishop, or knight of the same color. Usually, the pawn is chosen to be promoted to a queen, but in some cases another piece is chosen  this is called <a name='/wiki/Underpromotion' class='mw-redirect' title='Underpromotion'>underpromotion</a>. In the <a name='#En_passant'>animated diagram</a>, the pawn on c7 can be advanced to the eighth rank and be promoted. There is no restriction on the piece promoted to, so it is possible to have more pieces of the same type than at the start of the game (e.g., two or more queens).</p><div ></div><h3><span class='mw-headline' id='Check'><span class='mw-headline-number'>1.6</span> Check</span></h3><div role='note' class='hatnote navigation-not-searchable'>Main article: <a name='/wiki/Check_(chess)' title='Check (chess)'>Check (chess)</a></div><p>When a king is under immediate attack by one or two of the opponent's pieces, it is said to be <i>in <a name='/wiki/Check_(chess)' title='Check (chess)'>check</a></i>. A move in response to a check is legal only if it results in a position where the king is no longer in check. This can involve capturing the checking piece  interposing a piece between the checking piece and the king (which is possible only if the attacking piece is a queen, rook, or bishop and there is a square between it and the king)  or moving the king to a square where it is not under attack. Castling is not a permissible response to a check.</p><p>The object of the game is to checkmate the opponent  this occurs when the opponent's king is in check, and there is no legal way to remove it from attack. It is never legal for a player to make a move that puts or leaves the player's own king in check. In casual games it is common to announce 'check' when putting the opponent's king in check, but this is not required by the rules of chess, and is not usually done in tournaments.</p><h3><span class='mw-headline' id='End_of_the_game'><span class='mw-headline-number'>1.7</span> End of the game</span></h3><h4><span class='mw-headline' id='Win'><span class='mw-headline-number'>1.7.1</span> Win</span></h4><p>Games can be won in the following ways:</p><ul><li><i><a name='/wiki/Checkmate' title='Checkmate'>Checkmate</a>:</i> The player whose turn it is to move is in check and has no legal move to escape check.</li><li><i><a name='/wiki/Rules_of_chess#Resigning' title='Rules of chess'>Resignation</a>:</i> Either player may resign, conceding the game to the opponent.<sup id='cite_ref-8' class='reference'><a name='#cite_note-8'>&#91 7&#93 </a></sup> It is usually considered poor etiquette to play on in a hopeless position, and for this reason high-level games rarely end in checkmate.</li><li><i>Win on time:</i> In games with a <a name='/wiki/Time_control' title='Time control'>time control</a>, a player wins if the opponent runs out of time, even if the opponent has a superior position, as long as the player has a theoretical possibility to checkmate the opponent.</li><li><i>Forfeit:</i> A player who cheats, violates the rules, or violates the rules specified for the particular tournament, can be forfeited. In high-level tournaments, players have been forfeited for such things as:<ul><li>arriving late for the game (even by a matter of seconds) </li><li>receiving a call or text on a cell phone </li><li>refusing to undergo a drug test </li><li>refusing to undergo a body search for electronic devices </li><li>unsporting behavior (e.g. refusing to shake hands with the opponent).</li></ul></li></ul><h4><span class='mw-headline' id='Draw'><span class='mw-headline-number'>1.7.2</span> Draw</span></h4><p>There are several ways games can end in a <a name='/wiki/Draw_(chess)' title='Draw (chess)'>draw</a>:</p><ul><li><i><a name='/wiki/Draw_by_agreement' title='Draw by agreement'>Draw by agreement</a>:</i> Draws are most commonly reached by mutual agreement between the players. The correct procedure is to verbally offer the draw, make a move, then start the opponent's clock. Traditionally, players have been allowed to agree to a draw at any point in the game, occasionally even without playing a move  in recent years efforts have been made to discourage short draws, for example by forbidding draw offers before move thirty.</li><li><i><a name='/wiki/Stalemate' title='Stalemate'>Stalemate</a>:</i> The player whose turn it is to move has no legal move and is not in check.</li><li><i><a name='/wiki/Threefold_repetition' title='Threefold repetition'>Threefold repetition</a> of position:</i> This most commonly occurs when neither side is able to avoid repeating moves without incurring a disadvantage. In this situation, either player can claim a draw  this requires the players to keep a valid written record of the game so that the claim can be verified by the arbiter if challenged. The three occurrences of the position need not occur on consecutive moves for a claim to be valid. FIDE rules make no mention of <a name='/wiki/Perpetual_check' title='Perpetual check'>perpetual check</a>  this is merely a specific type of draw by threefold repetition.</li><li><i><a name='/wiki/Fifty-move_rule' title='Fifty-move rule'>Fifty-move rule</a>:</i> If during the previous 50 moves no pawn has been moved and no capture has been made, either player can claim a draw. There are several known endgames where it is possible to force a mate but it requires more than 50 moves before a pawn move or capture is made  examples include some endgames with <a name='/wiki/Two_knights_endgame' title='Two knights endgame'>two knights against a pawn</a> and some <a name='/wiki/Pawnless_chess_endgame' title='Pawnless chess endgame'>pawnless endgames</a> such as queen against two bishops. Historically, FIDE has sometimes revised the fifty-move rule to make exceptions for these endgames, but these have since been repealed. Some <a name='/wiki/Correspondence_chess' title='Correspondence chess'>correspondence chess</a> organizations do not enforce the fifty-move rule.<sup id='cite_ref-10' class='reference'><a name='#cite_note-10'>&#91 note 2&#93 </a></sup></li><li><i>Fivefold repetition of position:</i> Similar to the threefold-repetition rule, but in this case neither player needs to claim the draw  thus a tournament director can intervene and declare the game to be drawn. This is a relatively recent (2014) addition to the FIDE rules.</li><li><i>Seventy-five-move rule:</i> Similar to the fifty-move rule, but as with the fivefold repetition rule, this applies independently of claims by the players, and allows a tournament director to intervene. This rule likewise is a recent addition to the FIDE rules.</li><li><i><dfn id=''><a name='/wiki/Glossary_of_chess#insufficient_material' title='Glossary of chess'><span title='See entry at: Glossary of chess § Insufficient material' >Insufficient material</span></a></dfn>:</i> If neither player has a theoretical possibility to checkmate the opponent  for example, if a player has only the king and a knight, and the opponent has only the king, checkmate is impossible and the game is drawn by this rule. On the other hand, if both players still have a knight there is a highly unlikely yet theoretical possibility of checkmate, so this rule does not apply.</li><li><i>Draw on time:</i> In games with a <a name='/wiki/Time_control' title='Time control'>time control</a>, the game is drawn if a player is out of time and the opponent has no theoretical possibility to checkmate the player.</li></ul><h3><span class='mw-headline' id='Time_control'><span class='mw-headline-number'>1.8</span> Time control</span></h3><p>In competition, chess games are played with a <a name='/wiki/Time_control' title='Time control'>time control</a>. If a player's time runs out before the game is completed, the game is automatically lost (provided the opponent has <a name='/wiki/Rules_of_chess#Timing' title='Rules of chess'>enough pieces left</a> to deliver checkmate). The duration of a game ranges from long (or 'classical') games, which can take up to seven hours (even longer if <a name='/wiki/Adjournment_(chess)' class='mw-redirect' title='Adjournment (chess)'>adjournments</a> are permitted), to <a name='/wiki/Bullet_chess' class='mw-redirect' title='Bullet chess'>bullet chess</a> (under 3&#160 minutes per player for the entire game). Intermediate between these are <a name='/wiki/Rapid_chess' class='mw-redirect' title='Rapid chess'>rapid chess</a> games, lasting between 20&#160 minutes and two hours per game, a popular time control in amateur weekend tournaments.</p><p>Time is controlled using a <a name='/wiki/Chess_clock' title='Chess clock'>chess clock</a> that has two displays, one for each player's remaining time. Analog chess clocks have been largely replaced by digital clocks, which allow for time controls with <a name='/wiki/Time_control#Compensation_(increment_or_delay_methods)' title='Time control'>increments</a>.</p><p>Time controls are also enforced in correspondence chess competition. A typical time control is 50 days for every 10 moves.</p>",https://en.wikipedia.org/wiki/Chess#Rules
Reading the mind in the eyes,<p> <strong>This task involved following the instructions below.</strong></p><figure> <img src='https://cdn.glitch.com/cfc1f922-415d-4580-abb5-c45489446e61%2FScreen%20Shot%202020-02-07%20at%2000.25.13.png?v=1581053181815' alt='' /> </figure><figure> <img src='https://cdn.glitch.com/cfc1f922-415d-4580-abb5-c45489446e61%2FScreen%20Shot%202020-02-07%20at%2000.25.25.png?v=1581053178125' alt='' /> </figure>,https://psyarxiv.com/ra9qy/
