QuestionID,Question,ResponseType
32,These instructions are sufficient for me to understand the task.,agree
3,"Can the task  — at least theoretically — be done by one individual?
For example, there are ways to play card games by yourself, but its challenging to play tennis by yourself.",yn
4,"Can the difficulty or complexity of the task be varied systematically?
For example, basketball could be made more difficult by increasing the height of the hoop.",yn
44,"If so, explain how the complexity of the task could be varied systematically?",character
51,There is more than one correct solution,l5pt
52,Correctness of a solution can be demonstrated,l5pt
53,Integrated actions of group members is required,l5pt
54,The task is commonly encountered by members of the society,l5pt
55,Task is interesting and attractive,l5pt
56,Task requires equal participation or effort from group members,l5pt
57,Tasks involve conflict as opposed to cooperation among group members,l5pt
58,The goal of the task is to perform as much or as quickly as possible?,l5pt
59,The goal of the task is to produce a specific desired outcome?,l5pt
6,"What is the ratio of mental to motor effort in the task?
For example, basketball requires almost entirely motor effort, while calculating a tip in a restaurant is almost entirely mental effort.",mental
7,Categorize the task among the options below:,intellective
8,Does the task require generating an action-oriented plan?,yn
9,Does the task require generating novel ideas?,yn
10,"Is there an objectively correct answer?
For example, a math problem like 3 + 4 has an objectively correct answer, but what is the best sport does not.",yn
11,"Does the task require resolving differences in viewpoint or opinion?For example, talking about political issues often involves opinions, but talking about game scores does not.",yn
12,"Does the task induce a conflict of interest between the members?In other words, is there some incentive that makes one members success come at the cost of another?",yn
13,Is it against an opponent or adversary group?,yn
14,Can the task be divided into two or more easily separated parts?,yn
15,Does the task require various skills or abilities?,yn
16,"If the task was done with a group, can the group just sum the members’ efforts to get a good result?
For example, if each member does one part and the parts can be added together vs if the group has to work together completely to make progress.",yn
17,"Does the task require group members to contribute identically to the group’s product?For example, if each person had to do the same part, they might have to contribute identically.",yn
18,Can one member’s contribution determine the group’s product in the task?,yn
19,Does the task permit the group members to weigh contributions in any way they want?,yn
