WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
hk_4e3d513bac997dd9,3J4Q2Z4UT5FSKW7OXFEGRAPPGG6QWK,1,-813874861,Thank you for joining our study on 2024-02-09
hk_d28e148b3498b6b0,3SUWZRL0M5P5TE2DX66CZZ1Y8MT6EC,7.25,-10632781,Thank you for joining our study on 2024-02-09
hk_3ba3c9f31dc65f67,3TDXMTX3CI6H9J4ZTPW3KEZQ02R6IM,8.75,889422229,Thank you for joining our study on 2024-02-09
hk_6ff352ccc4a19f40,3UXUOQ9OKL9L71Z60B9I9UB3I3N7AV,8.75,2146753909,Thank you for joining our study on 2024-02-09
hk_0b08066538325bcb,34YB12FSQ5052VJWQH3HOYJWBMZMGZ,1,-226479943,Thank you for joining our study on 2024-02-09
hk_369d4c70dbf60601,3ATPCQ38JFM4MLV7NKZIM7V0MZEYAZ,8.25,-1739669359,Thank you for joining our study on 2024-02-09
hk_2386219f236e6ac2,3WJ1OXY92HSP7F4PAG1ONU7YTK4A8Q,5.75,-52147121,Thank you for joining our study on 2024-02-09
hk_17ec7b830849f74f,3NG53N1RL2VWUJARZZJLDPWTS4FP8S,6.75,1124299718,Thank you for joining our study on 2024-02-09
hk_6642f5508851f0ed,3DYGAII7PSK20NANLT0LZGHTKQJPQF,7.25,1114395207,Thank you for joining our study on 2024-02-09
hk_332d414d28e3a29d,3ON104KXQR8LVRKQZI73O7OKI75W4P,7.75,-465954292,Thank you for joining our study on 2024-02-09
hk_ac3cc5f2a75c8243,3E4GGUZ1TF3KXDBM6Q5C7HXR99L2KW,3.75,-1398844469,Thank you for joining our study on 2024-02-09
hk_84c7449113092dae,3SPJ033428FFNEYBHQCVF6YJ9PYJYT,1,-623444583,Thank you for joining our study on 2024-02-09
hk_8dace74a79a2bf9c,3CN4LGXD540PKWFQEJPR9490R2WY4P,3.75,-990713531,Thank you for joining our study on 2024-02-09
hk_ea121b0322be69c9,3DHE4R9OC3NFVRF3GZKX9P5YA7S2GJ,8.75,957553195,Thank you for joining our study on 2024-02-09
hk_852da0fd6b91f883,3UNH76FOCZH5OM4WKNPNVYQ0PNAYMD,1,-1113160,Thank you for joining our study on 2024-02-09
hk_72c27dcafaa326b0,3LRKMWOKBCTFM8A86R8MUWL4QDL2Z8,1.75,-72173217,Thank you for joining our study on 2024-02-09
hk_6d6c5fc5e40b7df5,31T4R4OBOZS90GW4KP59FP1RSFS7C9,6.25,1548193407,Thank you for joining our study on 2024-02-09
hk_d411e4d13e8f4dbb,39DD6S19JWN7HOMOZB3NWXUTFTKEZD,1,-462541690,Thank you for joining our study on 2024-02-09
hk_3a18dfa2f11b4b03,3ZV9H2YQQKJ0DV1MZ42KE2WEAFG3W4,5.25,-264574,Thank you for joining our study on 2024-02-09
hk_1de3349a0517527d,3WSELTNVRAE85ZWDDECJEQ3L8VRTAX,7.25,-1929454502,Thank you for joining our study on 2024-02-09
hk_bda80b4c10d4ae28,320DUZ38GEYF1NDBNKQP86RF8RMGJ6,7.75,1654566165,Thank you for joining our study on 2024-02-09
hk_ef211d1d76bca18d,3E47SOBEYX86P0D03G966ER0XNECIV,1.93,-1532348145,Thank you for joining our study on 2024-04-19
hk_821fae1fc85e1952,3GGAI1SQE2ASLJ3ROV7YY7YHEV0CMB,2.52,-464372275,Thank you for joining our study on 2024-04-19
hk_193275d27dfd9e59,3ATPCQ38JFM4MLV7NKZIM7V0NU4YAG,1.45,264903826,Thank you for joining our study on 2024-04-19
hk_d3850195c43c3b95,3OLF68YTNGDYMUECIU7UXMOKHEAAFH,5.58,-1193769351,Thank you for joining our study on 2024-04-19
hk_8887e604e9216860,3ZSANO2JCMJ2MQ06ZUTLIMIQ263FSB,2.98,-1192291053,Thank you for joining our study on 2024-04-19
hk_5970159e2758e8c5,388U7OUMFEDZO7L3HNAVP5QQAVBR0X,4.06,-1506763172,Thank you for joining our study on 2024-04-19
hk_486598d08baaf39d,34MAJL3QPBZO4TI2PYW1JADNLTD34N,5.34,-1291528684,Thank you for joining our study on 2024-04-19
hk_8d9a0ca1117d829a,3TU5ZICBRKDHUVB6ZCYADUM3X7MQ8J,4.02,10136105,Thank you for joining our study on 2024-04-19
hk_e732f99db4bc8e3e,3QEMNNSB24BJ582IKL0KZVJ98NFD71,1.32,2133664733,Thank you for joining our study on 2024-04-19
hk_f3ccb477eb14214e,31QTRG6Q20PB9P19C3HFC2KVLL4YP5,1,523768491,Thank you for joining our study on 2024-04-19
hk_1e2cd68eda3b44fa,3WRFBPLXRH0AQ1S873BXIJJNC4G3NE,3.21,-591138661,Thank you for joining our study on 2024-04-19
hk_5b08f56d87dbfe55,3Q5C1WP23TDAQ98NGZ1S0944LEP159,1,925143872,Thank you for joining our study on 2024-04-19
hk_79c70981b5693c40,3YT88D1N0FA9IV75AQJHQR2JFNPK3T,3.43,-1417364100,Thank you for joining our study on 2024-04-19
hk_c902b0abaee26a17,3HMVI3QICQ48SXI7R16PB62XF8V1Y4,3.33,-1273516392,Thank you for joining our study on 2024-04-19
hk_49b6e642fe0a05f8,3DI28L7YXHQAMS1GR0UV43AHXW4E1G,0.97,-821911258,Thank you for joining our study on 2024-04-19
hk_90ce5aad896cbe9a,3U5NZHP4LYEPNUBK23DRQ2PSHC9PHB,3.13,-1603019484,Thank you for joining our study on 2024-04-19
hk_d62293bc082e0f38,3EJJQNKU9YHAZ7RZFVHGVXP70U5HRL,1,1236202815,Thank you for joining our study on 2024-04-19
hk_078a7a6f7c7d4ae5,39O5D9O8704RZXVHID2J28PBDVF3CZ,3.56,743684668,Thank you for joining our study on 2024-04-19
hk_1bb609f9a7381c02,3PZDLQMM00X2EFZYEDOEJYKJ8TS2CP,1,-1773215924,Thank you for joining our study on 2024-04-19
hk_85b657e1a0274dfc,3Z7EFSHGNGQ3FV2V22979OEFHYDCXI,5.3,-835943180,Thank you for joining our study on 2024-04-19
hk_bf6ac4d7a58c31af,3OVHNO1VEDD2PI8O3GS3QFC8B9QZDS,2.76,243781143,Thank you for joining our study on 2024-04-19
