_id,playerId,gameId,createdAt,data.synergyPreference,data.teamViability,data.enjoyedTask,data.age,data.gender,data.strengthInGame,data.payFair,data.feedbackOpenEnded,data.feedbackMultipleChoice,data.education
dzsd2dctTGp2oDbyj,Y5RMRqyxMkafXyjpD,fdexB3xArQ6WpoMz3,2024-04-19T15:51:09Z,individual,false,strongly disagree,,,,,survey never started waist of time.,No,
LY2NyXNYnkEfk2kSg,Y5RMRqyxMkafXyjpD,fdexB3xArQ6WpoMz3,2024-04-19T15:52:23Z,,,,35,Male,Game never started waist of time.,No.,,,high-school
uEfNmaffS2xchLsaZ,tLzS7KRgNPZBYi48b,rkWHNxrSJ3Ei69Kt6,2024-04-19T18:29:36Z,individual,true,neither agree nor disagree,,,,,It got stuck waiting for players so I couldn't play. ,No,
tAtm9NFDM899aqCwE,tLzS7KRgNPZBYi48b,rkWHNxrSJ3Ei69Kt6,2024-04-19T18:30:36Z,,,,42,male,I didn't get to play,I don't know. It depends on if I'm sent a bonus for time spent on the study.,,,high-school
DZuheQZBSTFFbSdS5,NJv6Jh5xqmMzPJxst,3epXP4Y5ugkWYjNTe,2024-04-20T15:38:25Z,team,,agree,,,,,some of the tasks were challenging,Yes,
2unmMpd9jmfGecWN5,NJv6Jh5xqmMzPJxst,3epXP4Y5ugkWYjNTe,2024-04-20T15:39:56Z,,,,70,XY,"average, not enough time to think and consider options",yes in that the directions were clear but some were challenging,,,master
xBhqHQ8KZw9S3F4Jn,Y2Gd3Aqj6E9jQngfd,yovo3RcCBPE9ck6gr,2024-04-20T18:56:01Z,individual,,agree,,,,,"no, all good",Yes,
gkEbS6h7JmRivPJW5,Y2Gd3Aqj6E9jQngfd,yovo3RcCBPE9ck6gr,2024-04-20T18:56:29Z,,,,35,male,working quickly ,yes,,,master
sMDtuYxuPLcJnduWN,FMtjc64Y6yGquwiWg,hk_cf6b348153bd5e34,2024-04-20T19:17:00Z,individual,false,neither agree nor disagree,,,,,None,No,
piGTPhR92Lqc4M64u,rLCyvzPupdSuvhqij,hk_cf6b348153bd5e34,2024-04-20T19:17:05Z,team,true,agree,,,,,its hard working on the same board and communicating,Yes,
p6puFShsaPWbgkhKM,iEtZ7a3HjFPrgwPy4,hk_cf6b348153bd5e34,2024-04-20T19:17:19Z,team,true,strongly agree,,,,,It was a good experience,Yes,
sLyu3stiCSG7nd7rH,FMtjc64Y6yGquwiWg,hk_cf6b348153bd5e34,2024-04-20T19:17:27Z,,,,53,male,Strongest player in most games ,Mostly,,,bachelor
hk_7f1b46d14f650293,6gXMCGvjL23XmaMZj,hk_cf6b348153bd5e34,2024-04-20T19:17:29Z,individual,false,agree,,,,,Short notice on email about game.,No,
bEPCxNYEcSQWhxqnB,6YbMJJrN22Kr9GaHM,hk_cf6b348153bd5e34,2024-04-20T19:17:30Z,individual,true,disagree,,,,,It was frustrating dealing some of the other players because they wouldn't engage with the task or communicate effectively.,No,
crirntwCPqBtAAf85,rLCyvzPupdSuvhqij,hk_cf6b348153bd5e34,2024-04-20T19:17:54Z,,,,33,male,my strengtth was finding a leader,pay wasn't fair because you had to depend on teammates,,,bachelor
24mDeEwyoK6oiYZsX,iEtZ7a3HjFPrgwPy4,hk_cf6b348153bd5e34,2024-04-20T19:18:22Z,,,,26,Male,the sense of understanding of the group,I expected a little more,,,high-school
KQ5sGuMsjr8eKijt3,8knJPk7ZzyQkTssDh,hk_cf6b348153bd5e34,2024-04-20T19:18:43Z,team,true,agree,,,,,"I think it would be better to be notified a day before, rather than some hours. As far as general experience, the instructions were clear and the the team worked well together but I think we would of improved efficiency if there was a ""planning"" round after the practice.",Yes,
hk_3195cc61729eec4b,6YbMJJrN22Kr9GaHM,hk_cf6b348153bd5e34,2024-04-20T19:18:56Z,,,,37,male,I was strong. I did my best to communicate and get everybody to work together. But my teammates let me down by not taking any time to think strategically about how to work together.,"No, the pay should be considerably higher.",,,bachelor
tZZmT7uSsYqrvJcWg,6gXMCGvjL23XmaMZj,hk_cf6b348153bd5e34,2024-04-20T19:19:03Z,,,,68,female,Logic skills,not minimum wage as it turned out.,,,bachelor
KCk864YqahE5ZmNHj,8knJPk7ZzyQkTssDh,hk_cf6b348153bd5e34,2024-04-20T19:20:31Z,,,,36,Male,"My strength were the memory and typing rounds, I felt I did my part in those. ",Yes.,,,high-school
hk_b74a8813e884e87d,y9bZpKELmdfLXEK4L,sYmnLEY99hJd9HxJ8,2024-04-20T19:35:16Z,individual,,agree,,,,,none,Yes,
FjGGYs3cNr96iQShP,y9bZpKELmdfLXEK4L,sYmnLEY99hJd9HxJ8,2024-04-20T19:36:44Z,,,,62,Male,I'm pretty good at anagrams and solving some types of puzzles,yes,,,bachelor
jHbkbA8JLPx2x37gt,8ZC2EpDqXKQsFCS9m,uDqcgecgytLxxs7c3,2024-04-22T13:44:01Z,individual,,strongly disagree,,,,,boring and repetitive. only good for typists,No,
KPerbvBF8Nozv8N53,8ZC2EpDqXKQsFCS9m,uDqcgecgytLxxs7c3,2024-04-22T13:44:25Z,,,,72,male,poor,yes,,,bachelor
hk_de7520a47dc5a5b9,pDBsP5BrQ9mtkr8gu,kQocmc6EuQw7SBRYy,2024-04-22T13:51:09Z,individual,true,strongly disagree,,,,,There was  not enough instructions on the first task to make me feel like I know what I was doing or that I was helping with scoring. It was more frustrating than anything else.,No,
J8fEKqiryNsdq3jzJ,pDBsP5BrQ9mtkr8gu,kQocmc6EuQw7SBRYy,2024-04-22T13:52:06Z,,,,39,Female,Assigning tasks,Sure,,,high-school
xQnAtoLPFavRSg7vR,WJQcemvogkqqKabCF,i6odH2j4TQ2jrPetH,2024-04-22T14:13:06Z,individual,,strongly agree,,,,,Everything worked smoothly. Thank you.,Yes,
eoBpd6jtfQrjEphCy,WJQcemvogkqqKabCF,i6odH2j4TQ2jrPetH,2024-04-22T14:14:21Z,,,,44,Male,I think I did okay at the typing and recall.,Very much so.,,,bachelor
g3LBiozAv2QZ2kXXM,hk_33da5268c8686f93,vZotrcHHJQdDRznyG,2024-04-22T14:30:10Z,individual,,strongly agree,,,,,no,Yes,
ddsH3DCuPYBto2u8z,hk_33da5268c8686f93,vZotrcHHJQdDRznyG,2024-04-22T14:30:48Z,,,,47,F,5 (1-10),Yes,,,bachelor
6Bgf55yYNEzRLK5Bp,EmSp8dvghr5eraKTn,HGbPCT3dyrEACpPqo,2024-04-22T14:35:29Z,team,false,agree,,,,,No,Yes,
duSqwZ8Gt93pbPbJk,rt65SpkzhXcKYBXjH,HGbPCT3dyrEACpPqo,2024-04-22T14:35:57Z,team,false,strongly agree,,,,,none,Yes,
nHqTzHjwjAv8thzJS,HygFiffBdSHCXCh2M,HGbPCT3dyrEACpPqo,2024-04-22T14:36:04Z,team,true,neither agree nor disagree,,,,,my only feedback is that this took an hour and it better have paid $15+,No,
KLMjPLqit2Hqvs7nZ,wJPcJvSN9SpjmtDQQ,HGbPCT3dyrEACpPqo,2024-04-22T14:36:13Z,individual,false,strongly agree,,,,,A BIT OF SHORT NOTICE TO PLAY THE GAMES. ,Yes,
ucX6QEsqQpPMGtYYy,EmSp8dvghr5eraKTn,HGbPCT3dyrEACpPqo,2024-04-22T14:36:21Z,,,,31,male,,Not at all. I feel like we did perfectly one at least 2 of the games and still may only get 5$ for an hour of work,,,bachelor
Kq7ZyJzLjXjERb6Er,rt65SpkzhXcKYBXjH,HGbPCT3dyrEACpPqo,2024-04-22T14:36:34Z,,,,51,male,average,yes,,,bachelor
j7xZoxup84oNs5PWE,HygFiffBdSHCXCh2M,HGbPCT3dyrEACpPqo,2024-04-22T14:36:40Z,,,,39,male,don't have any,no,,,high-school
rd5nvskcDmH5eQThf,wJPcJvSN9SpjmtDQQ,HGbPCT3dyrEACpPqo,2024-04-22T14:36:53Z,,,,69,MALE,VERY POOR COMPARABLE TO THE OTHER MEMBERS OF MY TEAM.,YES,,,high-school
wYMd39C6figsJJJhi,eq43CGyxsQdDsKLwa,F33ksqCfNxGF3v87b,2024-04-22T14:41:59Z,team,false,strongly agree,,,,,na,Yes,
TjRFTd5yrs2ru7i8m,EozTAycwPk8ucWdxR,F33ksqCfNxGF3v87b,2024-04-22T14:42:32Z,team,true,strongly agree,,,,,The game was very interactive and good memory created for me. Thank you,Yes,
z9YnCwcaykHPpXpJo,eq43CGyxsQdDsKLwa,F33ksqCfNxGF3v87b,2024-04-22T14:42:48Z,,,,40,Male,"Positive, energetic,attentive",yes,,,bachelor
LYF7eXsf6Jt2cmDAa,FbReRJA4XNvhRfGEP,vRWAwjmTFPMf5mJGo,2024-04-22T14:42:54Z,team,true,strongly agree,,,,,,Yes,
wMCoXZjWhA2x29Qk6,GE2DpQARZuczY5uTp,vRWAwjmTFPMf5mJGo,2024-04-22T14:42:55Z,individual,true,strongly agree,,,,,No,Yes,
SfA9bayfB8tzN8xvp,FbReRJA4XNvhRfGEP,vRWAwjmTFPMf5mJGo,2024-04-22T14:43:06Z,,,,37,male,,,,,master
cuwc4YjErQ5QCHKGF,abGnuQSrBMsDzu6h7,vRWAwjmTFPMf5mJGo,2024-04-22T14:43:16Z,team,true,strongly agree,,,,,Good,Yes,
aQCDuAYJGed6G5wL2,fqfDDSJ8LtrpMQbFY,vRWAwjmTFPMf5mJGo,2024-04-22T14:43:17Z,team,false,agree,,,,,overall a good experience,Yes,
MsHSYvbRFivxBYTLf,H3d5MvfbF8DWZKghh,vRWAwjmTFPMf5mJGo,2024-04-22T14:43:27Z,team,true,strongly agree,,,,,No issues with the task.  Everything was fine.,Yes,
NiwQnBBMuHjto68wK,aSBFj9ErdnS9pH44j,vRWAwjmTFPMf5mJGo,2024-04-22T14:43:30Z,team,true,strongly agree,,,,,very good,Yes,
vQaaacm83czh7tRRC,EozTAycwPk8ucWdxR,F33ksqCfNxGF3v87b,2024-04-22T14:43:44Z,,,,35,MALE,Pro active was my biggest strength for me .,Yes indeed !,,,bachelor
7L9zTP4fymDkYuBmi,fqfDDSJ8LtrpMQbFY,vRWAwjmTFPMf5mJGo,2024-04-22T14:43:50Z,,,,52,Female,my strength was typing and memory.,Yes,,,high-school
4xdCsK8PyfYo5bZnv,GE2DpQARZuczY5uTp,vRWAwjmTFPMf5mJGo,2024-04-22T14:43:59Z,,,,28,Female,"Average, I think I was better at some things but worse at others",I suppose,,,other
BscfbhcFJNfhw9e8X,5EByokgw2aMS8YnwJ,F33ksqCfNxGF3v87b,2024-04-22T14:44:02Z,individual,false,agree,,,,,"Went quicker than anticipated. Sometimes when we all ""approved,"" we still had to wait, which seemed like wasted time. Other partners were helpful for one game, then not helpful and very lazy with the next. One person was eager to finish, the rest wanted to do well. So, other people a mixed blessing.",Yes,
tvbPNi7oHDxPPgytQ,aSBFj9ErdnS9pH44j,vRWAwjmTFPMf5mJGo,2024-04-22T14:44:23Z,,,,29,female,very good,yes,,,high-school
W4Xs3KkGYpRP9QT6N,abGnuQSrBMsDzu6h7,vRWAwjmTFPMf5mJGo,2024-04-22T14:44:34Z,,,,38,female,typing,yes,,,bachelor
6SyfPkjQ9qazmAGEG,H3d5MvfbF8DWZKghh,vRWAwjmTFPMf5mJGo,2024-04-22T14:45:15Z,,,,47,male,"For the most part, it was about trying to contribute where I could.",I think it's fine.,,,bachelor
Hqz6tFqxYApmnmTQa,5EByokgw2aMS8YnwJ,F33ksqCfNxGF3v87b,2024-04-22T14:45:18Z,,,,47,male,"Quality control. Some people are eager to simply finish, and I feel my strength is making sure the responses are accurate. ",yes,,,bachelor
bXNQsfHmxk8HX9Da6,5ykoBgvAh6QMoeePQ,kQocmc6EuQw7SBRYy,2024-04-22T14:45:25Z,team,false,disagree,,,,,"It was too long and after the first round, I wasn't sure if there was anyone else playing besides me. The instructions in the first round were insufficient as it didn't specify that all of us cannot type different paras at the same time. At least it wasn't possible to do so. If I were to work again, I'd like sufficient instructions and there should be some sort of signal that can tell me which of the players are active, if any. And we should be allowed to work on different parts at the same time. Or maybe given different boards to type our answer but be able to communicate so that we can share our answers. My mturk ID is hk_238e245255cc0c45",No,
YPnPxyC2LMBoNAGvd,5ykoBgvAh6QMoeePQ,kQocmc6EuQw7SBRYy,2024-04-22T14:47:21Z,,,,38,male,I feel that my strength was low in most games.,Not sure.,,,high-school
ojEFJ8pkeXMtZLy6c,WGsAibWDDwm4ebBqd,xsNXxFMngp5kyqaNp,2024-04-22T15:42:37Z,individual,,agree,,,,,I thought parts were difficult. Thank you,Yes,
yukA7YbpHsvfxzATq,WGsAibWDDwm4ebBqd,xsNXxFMngp5kyqaNp,2024-04-22T15:43:18Z,,,,57,female,I did the best I could,yes,,,bachelor
txFHR2wGivPXFC8tT,EAchGjWL5ScFdTeeF,hZof56eeZ7tTaPcWK,2024-04-22T15:51:46Z,individual,,agree,,,,,,Yes,
JgJDTscDkPHLezi64,EAchGjWL5ScFdTeeF,hZof56eeZ7tTaPcWK,2024-04-22T15:52:36Z,,,,67,F,weak,yes,,,master
dXsZBxer5xtvPjaH6,rusBtPEEYBzkH3JFv,bssiYnskJFG9K7CSf,2024-04-22T15:54:34Z,team,true,strongly agree,,,,,This task was not worth the time and there is no guarantee of bonus,No,
oycC3psXwmi4MjaXc,6i4SZXBsiMQauwSBd,bssiYnskJFG9K7CSf,2024-04-22T15:54:40Z,team,false,agree,,,,,,Yes,
PuMZZWhatjKPdNehM,6i4SZXBsiMQauwSBd,bssiYnskJFG9K7CSf,2024-04-22T15:55:03Z,,,,30,female,average,??,,,bachelor
