task,complexity,playerCount,team_n,strong,weak,team_sd,strong_se,weak_se
Advertisement Writing,Low,3,33,0.5365910665295414,0.9239319269738203,44.342055070246666,0.08663073197644676,0.2168103552308019
Advertisement Writing,Low,6,27,0.48721727196439296,0.9283928350172764,44.20295924388407,0.08623239433313917,0.22807093572254628
Advertisement Writing,Medium,3,33,0.8566664522352182,1.8919934428690484,42.83015823729543,0.14005902076567925,0.5662685844958456
Advertisement Writing,Medium,6,28,0.4172345912467882,1.2952032263535034,40.095642103680945,0.10106949202381267,0.4517156420223072
Advertisement Writing,High,3,33,0.8357199102872184,1.8387268659937248,43.090663956845056,0.13013415615691715,0.5376566465685342
Advertisement Writing,High,6,28,0.4434470307069863,1.3578423485774451,41.39823171676321,0.09733509097422476,0.4493776721608983
Allocating Resources,Low,3,31,0.7033048054849464,1.2282629775680391,44.55273545540318,0.09183625324303135,0.22924342046771634
Allocating Resources,Low,6,26,0.5924926296019454,1.1638661939263142,44.36387997181769,0.08876100391121662,0.23344802284277366
Allocating Resources,Medium,3,31,0.7786720694291456,1.4220910138248843,39.2421487250525,0.0861685865429302,0.25846237856334053
Allocating Resources,Medium,6,26,0.5177999359079735,1.0989010989010985,43.99300643721245,0.09074492493433464,0.2493964103975507
Allocating Resources,High,3,31,0.7802684209684303,1.2196512025532888,35.90309538277328,0.07289597662868537,0.17206269938351934
Allocating Resources,High,6,26,0.6544881717391159,1.1144332699103021,40.27597107648487,0.08195786805369337,0.18263701144624078
Divergent Association,Low,3,26,0.973180857723818,1.188184576673135,5.287900125900486,0.011479253135068016,0.0786498147194554
Divergent Association,Low,6,25,0.8950293134156709,1.1286250025138092,25.4520498689792,0.05443565087080245,0.1005812971254819
Divergent Association,Medium,3,26,0.9988199565185537,1.1653344435769866,3.6003275810971007,0.00761725276751308,0.06742961118746804
Divergent Association,Medium,6,25,0.9902098471776409,1.184648777979572,3.5292231708523163,0.0073961132531417855,0.06852770654073351
Divergent Association,High,3,25,0.997851229567418,1.1888503214974502,3.135731990566742,0.006786464049350084,0.08306655544941086
