Respondent,Task,Q3 - Can the task — at least theoretically — be done by one individual?,Q4 - Can the task difficulty or complexity be varied systematically?,Q5_1 - For the next few questions answer the degree to which each aspect can be achieved with this task. - There is more than one correct solution,Q5_2 - For the next few questions answer the degree to which each aspect can be achieved with this task. - Correctness of a solution can be demonstrated,Q5_3 - For the next few questions answer the degree to which each aspect can be achieved with this task. - Integrated actions of group members is required,Q5_4 - For the next few questions answer the degree to which each aspect can be achieved with this task. - The task is commonly encountered by members of the society,Q5_5 - For the next few questions answer the degree to which each aspect can be achieved with this task. - Task is interesting and attractive,Q5_6 - For the next few questions answer the degree to which each aspect can be achieved with this task. - Task requires equal participation or effort from group members,Q5_7 - For the next few questions answer the degree to which each aspect can be achieved with this task. - Tasks involve conflict as opposed to cooperation among group members,Q5_8 - For the next few questions answer the degree to which each aspect can be achieved with this task. - The goal of the task is to perform as much or as quickly as possible?,Q5_9 - For the next few questions answer the degree to which each aspect can be achieved with this task. - The goal of the task is to produce a specific desired outcome?,Q6 - What is the ratio of mental to motor effort in this task,Q7 - Categorize this task:,Q8 - Does the task require generating an action-oriented plan?,Q9 - Does the task require generating novel ideas?,Q10 - Is there an objectively correct answer?,Q11 - Does this task require resolving differences in viewpoint or opinion?,Q12 - Does this task induce a conflict of interest between the members?,Q13 - Is it against an opponent or adversary group?,Q14 - Can the task be divided into two or more easily separated parts?,Q15 - Does the task require various skills or abilities?,Q16 - Can the group just sum the product of the members’ efforts?,Q17 - Does the task require group members to contribute identically to the group’s product?,Q18 - Can one member’s contribution determine the group’s product?,Q19 - Does it permit the group members to weight contributions in any way they want?,Q20 - Feedback
R_1rihAvzI8B8QFC6,MindsEyeTask,Yes,No,Probably false,Neither true nor false,Probably true,Definitely false,Definitely true,Probably true,Definitely false,Definitely true,Neither true nor false,Moderately mental effort,Purely judgmental: no demonstrably correct answer.,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,no
R_UT2GehbGbleOWcx,MindsEyeTask,No,Yes,Probably true,Probably true,Definitely true,Probably true,Probably true,Probably true,Definitely false,Probably false,Neither true nor false,Moderately mental effort,Purely judgmental: no demonstrably correct answer.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,The instructions were not as obvious as you researchers think.
R_3Ld2rsmdpa76RRM,MindsEyeTask,Yes,Yes,Probably true,Neither true nor false,Probably true,Probably false,Neither true nor false,Definitely false,Neither true nor false,Probably true,Neither true nor false,About 50–50,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,NA
R_UgcEwOfyOcMclyN,MindsEyeTask,Yes,Yes,Definitely true,Definitely true,Neither true nor false,Definitely false,Probably true,Neither true nor false,Probably true,Neither true nor false,Probably true,Moderately mental effort,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,All was confusing but not undoable. No suggestions come to mind.
R_5i4EPBNOUwbfH21,MindsEyeTask,Yes,Yes,Probably true,Neither true nor false,Definitely false,Neither true nor false,Definitely true,Definitely false,Definitely false,Definitely false,Definitely false,Entirely mental effort,Simultaneous: both intellective and judgmental,No,No,No,Yes,No,No,No,No,No,No,No,No,
R_tF1Z8BOp1cB3Hhv,RoomAssignmentTask,Yes,No,Probably false,Probably true,Probably false,Probably false,Probably true,Probably true,Probably false,Probably false,Probably true,Entirely mental effort,Purely intellective: correctness of a proposed solution can be readily demonstrated.,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Everything was clear and easy to understand
R_2bWwOAi02vo0yqh,MindsEyeTask,Yes,Yes,Probably true,Probably false,Probably false,Probably true,Probably true,Probably true,Probably false,Probably false,Probably false,Entirely mental effort,Purely judgmental: no demonstrably correct answer.,No,No,No,No,No,No,Yes,Yes,No,No,No,No,maybe an introduction
R_2ToQQUKOyv9lQtz,MindsEyeTask,Yes,Yes,Probably false,Probably true,Probably true,Probably true,Definitely false,Probably true,Probably false,Probably false,Probably true,Entirely mental effort,Simultaneous: both intellective and judgmental,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,
R_2S5ZdnXjyCnm1Ye,MindsEyeTask,Yes,Yes,Probably true,Probably false,Neither true nor false,Probably false,Definitely true,Definitely true,Definitely false,Definitely false,Definitely false,Entirely mental effort,Purely judgmental: no demonstrably correct answer.,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Unique study!
R_1rihAvzI8B8QFC6,RoomAssignmentTask,Yes,Yes,Definitely true,Probably true,Probably true,Definitely false,Neither true nor false,Definitely true,Neither true nor false,Probably true,Probably true,Entirely mental effort,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,no
