task,individual_theoretical,individual_practical,task summary url,implemented,source
9 Dot Problem,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/040dd334ce240c0103becf639855a9e194a5ff05/tasks/Nine%20Dot%20Problem.md,FALSE,Maier 1930
Abstract grid task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/issues/132#issue-887315383,FALSE,https://www.nature.com/articles/s41586-021-03380-y
Advertisement writing,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/29d07cb7799f4471cf1b5723ac2d214690c8744d/tasks/Advertisement%20Writing.md,FALSE,https://hci.stanford.edu/publications/2019/fracture/fracture-cscw2019.pdf; Iykourentzou 2016 and 2017; also originally Dow
Aerospace Investment (Role-playing),Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Aerospace%20Investment.md,FALSE,https://www.pon.harvard.edu/uncategorized/how-negotiation-games-can-help-you-develop-skills-to-resolve-business-and-commercial-disputes/
Allocating resources to programs,Strongly disagree,Strongly agree, https://github.com/Watts-Lab/task-mapping/blob/29d07cb7799f4471cf1b5723ac2d214690c8744d/tasks/Allocating%20Resources%20to%20Programs.md,FALSE,https://hci.stanford.edu/publications/2019/fracture/fracture-cscw2019.pdf
Architectural design task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Architectural-design.md,FALSE,https://science.sciencemag.org/content/330/6004/686.full
Battle of the sexes,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Battle%20of%20the%20sexes.md,FALSE,Rabin 1993 Fig 1
Best job candidate (hidden-profile),Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/issues/110#issue-861525108,FALSE,https://www.sciencedirect.com/science/article/pii/S0022103106000898  https://psycnet.apa.org/record/2006-21634-007
Biopharm Seltek,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Biopharm%20Seltek.md,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0749597817303965?casa_token=1N8MQVeDmpAAAAAA:odzZ-G_C6oGXusNSYBHimba5ShlHEnyBz0Sw53nDnSOLwJZWuxZ-zQ8I7AnJdXn6ZAx4lRWoWSM
Blocks World for Teams,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/ff1521e8dddb65f111b8b053d02b027f3a0efc64/tasks/Blocks%20World%20for%20Teams.md,FALSE,"Butchibabu, 2016 "
Bullard Houses,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/Bullard-Houses/tasks/Bullard%20Houses.md,FALSE,https://d1wqtxts1xzle7.cloudfront.net/51359748/The_Agreement_Bias_in_Negotiation_Teams_20170115-19001-1910usu.pdf?1484476045=&response-content-disposition=inline%3B+filename%3DThe_Agreement_Bias_in_Negotiation_Teams.pdf&Expires=1607052392&Signature=SeqqYgwSvql2TaWuUf3h8dxy-5Z~kbdlEeeIwGVJtMXTrGo5VHB6uldnx07DjJcxszcgZUJxflH1A9DZZf-ypFJ1UePsbh~TH~LC65vH9JrJYY-zaJxxTFEOOc3rlm6C49G~Zq0xSBBYfMton37gV1pLefCC8EH2E1eaozkeEBT-a56127Evom~H4PIQIykRvD4vr0UdCyeYTccK7fEGiJwCRygt9CAf4SDeXbbtufbWxwWOK2MCW1gvJDFuumoUhESBCYrCDrRvcFkpTJxkgO~mKhjVIYOcSPJEyq~MbeTX2r0h~7-HvysCd7GrL59fsDdr2XgYoNbr7Ax83dVQgg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
Carter Racing,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/6301fd0052c92f31dfd9711d77a4c02ce5fe200c/tasks/Carter%20Racing.md,FALSE,Jack W. Brittain and Sim B. Sitkin
Categorization problem,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/pull/59,FALSE,https://uwspace.uwaterloo.ca/bitstream/handle/10012/824/gaabimbo2006.pdf?sequence=1&isAllowed=y 
Checkers,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/checkers/tasks/checkers.md,FALSE,https://science.sciencemag.org/content/330/6004/686.full
Cheering and Clapping,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/66593c1223fa882ca0312990ce1bf1fe2beea40e/tasks/Cheering%20and%20Clapping.md,FALSE,Latane et al 1979
Chicken,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/3766267dbf0eabd930a1d96c856bdbd9e299b110/tasks/Chicken.md,FALSE,"frick, Rose and Kolle 2017"
Crisis mapping,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/4524eac7add1b7379902be7b95f2f0d381697edf/tasks/Crisis%20Mapping.md,FALSE,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153048
Desert survival,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/040dd334ce240c0103becf639855a9e194a5ff05/tasks/Desert%20Survival.md,FALSE,https://journals.aom.org/doi/abs/10.5465/amd.2018.0044?journalCode=amd
Dictator game and its variants,Strongly agree,Strongly disagree,https://github.com/Watts-Lab/task-mapping/blob/c580801be99517a3cbb8f970dda6c66631ac0380/tasks/Dictator%20Game.md,FALSE,Dana et al 2006 (additional variants) also List 2007
Divergent Association Task,Strongly disagree,Strongly agree,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Divergent%20Association%20Task.md,TRUE,https://www.pnas.org/content/118/25/e2022340118
